名称,地址,纬度,经度
泖港社区,上海市松江区泖港镇,30.938162,121.224227
上海市崇明区陈家镇社区卫生服务中心(裕安分中心),上海市崇明区安寿路102号,31.524806,121.865602
南汇新城镇社区事务受理服务中心,上海市浦东新区竹柏路487号,30.906695,121.911036
曹路镇社区事务受理服务中心,上海市浦东新区曹路镇龚丰路85号,31.26291,121.689245
上海市浦东新区曹路社区卫生服务中心,浦东新区龚路镇龚新路470号,31.264569,121.688861
青浦区盈浦街道社区服务中心,上海市青浦区胜利路119号,31.16147,121.111362
城投宽庭临港社区,上海市浦东新区玉柏路399弄,30.90454,121.895823
卫家角第二社区居民委员会,上海市青浦区涞浪路新虹桥雅苑,31.182608,121.317868
1+社区,上海市闵行区群英路东苑新天地-南区,31.125475,121.376066
潍坊社区,上海市浦东新区世纪大道地铁站6号口东150米,31.234837,121.536215
富平社区,上海市普陀区万里街道,31.270902,121.412731
绿色社区,上海市长宁区泉口路长宁区新泾镇社区事务受理服务中心,31.217457,121.379745
高安社区,上海市徐汇区天平路街道,31.20937,121.451291
兰竹社区,上海市外环高速龙柏四村社区,31.181786,121.367233
潘西社区,上海市长宁区华阳路街道,31.219956,121.425953
建岳社区,上海市徐汇区天平路街道,31.212147,121.458616
365社区,上海市闵行区朱建路116号甲,31.226143,121.286028
华业社区,上海市静安区南京西路,31.232658,121.461623
复中社区,上海市徐汇区湖南路街道,31.219979,121.46437
五厍社区,上海市松江区泖港镇,30.962192,121.150498
延长社区,上海市普陀区新村路与白水路交叉路口往南约50米(延长小区),31.273504,121.447562
生活社区,上海市松江区明南路E-life生活社区(中山街道店),31.050603,121.276655
上海市社区服务中心,上海市黄浦区制造局路88号,31.215664,121.489065
新宜社区,上海市普陀区甘泉路街道,31.271817,121.443979
青年社区,上海市浦东新区云台路702号,31.170817,121.513094
长新社区,上海市普陀区甘泉路街道,31.273781,121.439575
陕北社区,上海市普陀区长寿路街道,31.250302,121.448734
复襄社区,上海市徐汇区湖南路街道,31.220119,121.46223
徐汇区漕河泾街道社区,上海市徐汇区冠生园路211号,31.17212,121.43211
社区00,上海市长宁区剑河路金虹苑小区,31.212489,121.375762
浦东社区事务受理中心,上海市浦东新区东明路街道上南路4188号,31.150246,121.515828
武康社区,上海市徐汇区淮海中路1670弄-14号附近,31.213954,121.448723
张东社区,上海市徐汇区枫林路街道,31.203952,121.45648
金沙社区,上海市嘉定区丰庄西路433弄,31.25216,121.360129
盈港社区居民委员会,上海市青浦区盈浦街道胜利路502号(八字桥菜场)号门2楼,31.167925,121.11087
上海滩花园社区,上海市浦东新区洋泾街道,31.246165,121.539536
合寓社区,上海市松江区莘砖公路1108号,31.099325,121.313742
五角场街道社区,吉浦路与纪念路交叉口正东方向129米左右,31.304801,121.499003
延中社区,上海市静安区南京西路街道,31.228048,121.460472
城投宽庭徐汇社区,上海市徐汇区田林街道漕溪路125弄25号,31.176217,121.438773
青年社区,上海市宝山区锦乐路999号,31.422637,121.417036
阳光建华城第一社区居民委员会,上海市普陀区桃浦路1372号,31.267386,121.381448
杨浦区五角场街道社区事务受理服务中心,上海市杨浦区国庠路同泰房产,31.310102,121.523235
南汇新城镇临港综合社区,上海市浦东新区南汇新城镇兴旺路1号,30.96185,121.911977
徐汇区龙华街道社区事务受理服务中心,上海市徐汇区天钥桥南路399号,31.174762,121.45697
魔方社区,胜辛路2899号(胜辛路与沪宜公路口),31.376677,121.234965
十村社区,上海市金山区石化街道富川路10号,30.718793,121.357998
嘉定镇侯黄桥居民区社区事务受理站,嘉丰路84-10附近,31.381297,121.243001
上海市普陀区苏堤春晓社区居民委员会退役军人服务站,上海市普陀区叶家宅路91号,31.243993,121.436444
上海市普陀区绿洲城市花园社区居民委员会退役军人服务站,上海市普陀区胶州路1155弄13号102室,31.246322,121.437815
叶家宅社区,长寿路790-1号,31.243022,121.437774
安泊居,翔殷路203号,31.312787,121.550723
创客巢,上海市闵行区颛桥镇光华路638号,31.074444,121.392348
宁聚里·新泾镇绿园新村第八居民区党群服务站,上海市长宁区协和路239弄24号2楼,31.218326,121.361955
北蔡镇绿川第四居民区服务中心,绿林路三二〇弄8号甲,31.177007,121.553694
泖港镇社会组织服务中心,上海市松江区泖港镇叶新公路3011号,30.943242,121.236017
浦兴路街道银桥居民区党群服务站,上海市浦东新区长岛路800弄48号,31.265027,121.593321
上海市虹口区提篮桥街道华兴坊居民委员会-新上海人自治管理委员会,上海市虹口区昆明路381弄-45号,31.264948,121.517012
