名称,地址,纬度,经度
新魏花园社区居民委员会,江苏省常州市新北区魏村街道新魏花园社区91号,31.907458,119.922974
青龙街道社区卫生服务中心,江苏省常州市天宁区竹林北路220号,31.798686,120.00364
常州市新北区龙虎塘街道社区卫生服务中心,常州市新北区龙虎塘镇北街1号,31.852169,119.9936
常州市新北区春江街道办事处,江苏省常州市新北区长江北路1188号,31.936603,119.973938
常州市经开区戚墅堰街道办事处,江苏省常州市经开区戚墅堰街道劳动东路8号,31.72572,120.067651
郑陆社区居民委员会,江苏省常州市天宁区郑陆镇季子路大宁佳苑商铺8-05号,31.822361,120.079624
常州市天宁区雕庄街道办事处,常州市天宁区中吴大道700号,31.743447,120.022809
圩塘社区居民委员会,江苏省常州市新北区永新路42号,31.949411,119.998237
常州市武进区潞城街道办事处,江苏省常州市武进区潞城街道富民路280号,31.774309,120.056198
春江镇龙圩社区居民委员会,常州市新北区永新路206号,31.938819,119.997935
南馨苑小区,常州市新北区汤王线南馨苑(东区),31.892524,119.890511
常州市天宁区红梅街道办事处,江苏省常州市天宁区红梅街道竹林南路14号,31.787257,119.986704
常州市天宁区茶山街道丽华村村民委员会,常州市天宁区采华路30号,31.756983,119.9922
新桥镇锦海社区居民委员会,新桥镇锦海星城商铺3楼201附近,31.879252,119.975932
丽园社区顺园八村二期-311号楼,江苏省常州市新北区顺源新村(八村)北区311栋,31.86847,119.929428
魏村街道社区卫生服务中心,江苏省常州市新北区浦中路91号,31.972532,119.938524
常州市新北区三井人民医院(河海院区),常州市新北区建东路19号,31.832435,119.9967
龙虎塘街道便民服务中心,常州市新北区龙虎塘街道龙栖路1号龙虎塘街道办事处1楼,31.851901,119.99446
富民小区-东南门,常州市新北区孟河镇富民花园一区,32.015432,119.842161
童子河社区顺园八村1期南区-240栋,江苏省常州市新北区顺园新村(八村)南区240幢,31.863938,119.927416
孟城社区居民委员会,常州市新北区孟城西路珠城公园,32.044246,119.811359
龙虎塘街道腾龙社区残疾人之家,常州市新北区龙须路腾龙南苑,31.855624,119.976007
常州市新北区三井街道社区卫生服务中心爱心母婴室,江苏省常州市太湖中路1号,31.827685,119.98066
望湖社区党群服务中心(望湖社区便民服务站),常州市新北区新桥街道清水湾二期74号商铺,31.873388,119.972466
橄榄城社区党群服务中心,常州市新北区丽园路东渡伊顿小镇西南2门西北侧约80米,31.86511,119.935376
东青社区,江苏省常州市天宁区武澄西路,31.792904,120.078037
天宁区茶山街道丽华一村社区卫生服务站,江苏省常州市天宁区丽华一村社区菜场边,31.758157,119.982529
长江社区,常州市新北区X209(魏安路),31.967961,119.937219
红梅街道红梅东村社区卫生服务站,江苏省常州市天宁区翠虹路188号,31.788991,119.997833
新桥社区,江苏省常州市新北区,31.866609,119.967091
三井街道,江苏省常州市新北区通江中路8号,31.817575,119.971834
常州市天宁区青龙街道办事处,江苏省常州市天宁区河海东路9号,31.822821,120.024361
望湖社区居民委员会,常州市新北区红河路清水湾花园-中区,31.873382,119.972528
汇丰社区党群服务中心,江苏省常州市新北区嵩山路15号,31.826175,119.970058
顺园新村六村-179号楼,江苏省常州市新北区顺园新村(六村)179栋,31.864792,119.933169
龙虎塘街道办事处,江苏省常州市新北区龙虎塘街道龙栖路1号,31.852088,119.994486
漕河社区党群服务中心,常州市新北区丽园路童子河顺园八村一期-北区,31.868121,119.927036
临江社区居民委员会,江苏省常州市新北区魏村街道向阳路319号,31.970121,119.942496
江苏常州滨江开发区圩塘街道办事处,江苏省常州市新北区新港路3幢-15号,31.948519,119.998524
春江镇新魏花园社区居家养老服务中心,常州市新北区虎丘路与南海路交叉路口往东约90米,31.90731,119.923075
新闸街道便民服务中心,江苏省常州市钟楼区新闸街道飞龙西路258号,31.832675,119.910618
常州市新北区三井街道商会,江苏省常州市新北区巢湖路与华山中路交叉路口往北约120米,31.831582,119.956739
三井街道创业公寓-2号楼,江苏省常州市新北区太湖西路5号,31.825543,119.95743
象墩社区居民委员会,江苏省常州市新北区华山北路666号,31.910873,119.986325
前桥小区-45号楼,常州市新北区前桥新村45号,31.823205,119.95271
常州市新北区河海街道社区卫生服务中心爱心母婴室,江苏省常州市建东路19号,31.83884,120.00323
常州市钟楼区新闸街道新闸花苑社区卫生服务站,江苏省常州市钟楼区飞龙西路荷园西北侧约250米,31.83294,119.910059
滨江社区居委会筹备组卞墅筹备小组,常州市新北区赣江路常州市新北区春江中心小学西侧,31.934784,119.967569
临江社区,江苏省常州市新北区向阳路与花苑路交叉口西100米,31.970079,119.942659
龙圩社区党员群众服务中心,江苏省常州市新北区长宏公寓3,31.93876,119.99788
山水社区党群服务中心,常州市武进区省庄大道山水花苑,31.762787,120.106883
横山桥社区,江苏省常州市武进区西崦中心路,31.767718,120.11273
富都小区西区-商业房32幢,常州市新北区衡山路富都-西区,31.841493,119.980101
中国共产党常州市新北区孟河镇孟城社区总支部委员会,常州市新北区孟城西路珠城公园,32.044281,119.811273
常州市新北区龙虎塘街道锦珑社区退役军人服务站,江苏省常州市新北区中海锦珑湾7栋,31.838117,120.008011
祥龙社区便民服务中心,常州市龙虎塘街道祥龙苑24幢1F,31.847282,120.002587
中国共产党常州市新北区魏村街道济农村总支部委员会,江苏省常州市新北区魏村街道振兴路1号,31.915226,119.914974
星港花苑小区北区-64号楼,江苏省常州市钟楼区星港花苑北区64栋,31.816818,119.898764
观前村小区,常州市武进区兰陵路新利贸业广场西北侧约190米,31.771298,120.11047
中共芙蓉镇芙蓉社区支部委员会,江苏省常州市武进区荷韵街,31.772828,120.165753
观前村小区,常州市武进区兰陵路新利贸业广场西北侧约190米,31.771298,120.11047
中共芙蓉镇芙蓉社区支部委员会,江苏省常州市武进区荷韵街,31.772828,120.165753
孟河镇万绥社区退役军人服务站,常州市新北区孟浦线元盛楼西南侧约110米,32.012877,119.807531
新桥街道朱家弄村退役军人服务站,江苏省常州市新北区新桥街道朱家弄村,31.893946,119.960765
新北区三井街道世茂香槟湖退役军人服务站,江苏省常州市新北区三井街道世茂香槟湖119幢,31.816495,120.01161
星港花苑小区北区-68号楼,江苏省常州市钟楼区星港花苑北区68栋,31.817162,119.898765
天宁区青龙街道社会管理服务中心,常州市天宁区河海东路常州科普植物园,31.822921,120.024523
常州市新北区新桥街道退役军人服务站,江苏省常州市新北区华山北路77号,31.867101,119.976588
春江镇录安洲社区关心下一代工作委员会,江苏省常州市新北区祁连山路与团结路交叉路口往东约180米,31.927218,119.972213
龙虎塘街道环境卫生管理所,常州市新北区晋陵北路与浦江路交叉路口往东约50米,31.845618,119.995079
冯春男社区警务示范岗,江苏省常州市武进区崔蓉路87号,31.730208,120.130991
顺园新村六村-181号楼,江苏省常州市新北区顺园新村(六村)181栋,31.865102,119.933112
中国共产党常州市新北区三井街道天安社区总支部委员会,常州市新北区晋陵北路382号,31.833847,119.992788
童子河社区顺园八村1期南区-103栋,常州市新北区童子路顺园八村-南区,31.865291,119.925081
富民小区二区-47幢,江苏省常州市新北区富民花园二区47幢(东亭路东),32.018989,119.841287
前桥小区-5号楼,江苏省常州市新北区前桥新村5幢,31.823574,119.94965
富民小区二区-31幢,江苏省常州市新北区孟河镇金府路28-10号东北方向100米,32.018114,119.843549
富民小区一区-23幢,常州市新北区东亭路富民小区-一区,32.016329,119.83987
富都小区西区-46幢,常州市新北区衡山路富都-西区,31.841787,119.980243
常州市钟楼区新闸街道凌家村村民委员会-西北门,常州市钟楼区新冶路459号,31.835121,119.903432
顺园新村六村-177号楼,江苏省常州市新北区顺园新村(六村)177栋,31.864435,119.932374
徐墅社区综合文化服务中心,江苏常州市新北区徐墅街303-1号,31.914027,119.99657
新龙花苑西区-9栋,常州市新北区新龙花苑9幢,31.868507,119.976076
三井街道文体活动中心,江苏省常州市新北区秦岭路1-1号,31.824789,119.958292
龙虎塘街道中心幼儿园(盘龙新园区),江苏省常州市新北区盘龙路(盘龙苑78幢),31.860901,119.993026
水映天色书画培训(河海街道店),江苏省常州市新北区庐山路河海街道都市雅居西门8栋2楼,31.836838,119.989631
常州市新北区河海街道青年中心,常州市新北区晋陵北路阳光花园,31.823061,119.9916
中共青龙街道纪律检查委员会,常州市天宁区河海东路9号附近,31.822811,120.024828
小河社区警务室,江苏省常州市新北区兴镇路恽代英广场东北侧约40米,32.018335,119.865935
常州市新北区见义勇为基金会石桥社区工作室,常州市新北区东尧路石桥农贸综合市场西南侧约130米,32.006358,119.848076
巢家社区消防警务室,江苏省常州市新北区泰山路180号-1号,31.825179,119.965852
工会户外劳动者服务站(三井街道党群服务中心),常州市通江中路8号三井大厦,31.8179,119.971599
新北区魏村街道济农村新时代文明实践站,江苏省常州市新北区安宁路12号,31.915303,119.915219
河海街道社区卫生服务中心-地下停车场,常州市新北区建东路19号,31.832462,119.996731
薛家后肖社区-顺园五村停车场,常州市新北区庆阳路58号,31.852685,119.931672
华山幼儿园(前桥新村南)-北门,江苏省常州市新北区前桥小区69号,31.825966,119.95296
