名称,地址,纬度,经度
常州市第一人民医院,江苏省常州市天宁区天宁街道局前街185号,31.785313,119.967333
常州市武进人民医院,常州市天宁区永宁北路2号,31.79808,119.975568
溧阳市中医院,常州市溧阳市溧城镇西后街121号,31.434597,119.492528
溧阳市人民医院,江苏省常州市溧阳市建设西路70号,31.43027,119.467545
常州市中医医院,江苏省常州市天宁区和平北路25号,31.77902,119.971319
常州市第七人民医院,江苏省常州市经开区延陵东路288号,31.730041,120.06689
常州市第三人民医院,常州市天宁区兰陵北路300号,31.756092,119.949963
常州市武进人民医院-南院,常州市武进区马杭镇滆湖东路85号,31.693162,119.984851
常州市新北区孟河中医医院(新北区中医医院),江苏省常州市新北区孟河镇金府路30号,32.016708,119.845743
武进横林人民医院,常州市武进区顺通路68号,31.698458,120.103998
横林人民医院(崔桥院区),江苏省常州市武进区崔横南路92号,31.728958,120.129954
常州市儿童医院,江苏省常州市天宁区雕庄街道中吴大道958号,31.752352,120.006095
常州市武进第五人民医院,常州市武进区景德西路72号,31.600809,119.968427
武进国家高新区人民医院,江苏常州市武进区高新区武宜南路509号高新区南夏墅街道,31.636226,119.942417
奔牛人民医院,常州市新北区天禧桥南路92号,31.854062,119.821597
常州市第二人民医院(天宁分院),江苏省常州市天宁区竹林北路220号,31.798564,120.00342
常州中山中西医结合医院,常州市钟楼区邹区镇杨庄新街34号,31.78148,119.853168
常州市武进第六人民医院,江苏省常州市武进区东都东路139号,31.648015,120.094155
武进第四人民医院(湟里分院),桃园路与金水路交叉口,31.636383,119.713792
常州仁慈医院(晋陵南路院区),常州市天宁区晋陵南路2号,31.758509,119.956946
漕桥医院,江苏省常州市武进区振兴东路272号,31.522505,119.994283
常州健一医院,江苏省常州市武进高新技术产业开发区西湖路1号众创服务中心B座1~2、4层,31.672712,119.964628
医院,溧阳230路;溧阳252路;溧阳297路,31.564911,119.458944
医院,溧阳222路,31.608856,119.346421
常州市中医医院(钟楼院区),北直街61号,31.793446,119.964192
医院,溧阳229路;溧阳236路,31.546908,119.576178
溧阳兴华医院,江苏省常州市溧阳市燕城大道111号鼎邦大厦,31.393705,119.502321
常州协和医院,江苏常州市天宁区和平北路国泰新都商务中心702号,31.774043,119.968626
天目湖医院,溧阳295路,31.328816,119.452128
常州市第二人民医院(阳湖院区),常州市武进区滆湖中路68号,31.695627,119.945697
西夏墅医院,27路;233A路;247路,31.955503,119.841407
常州市第四人民医院,常州市新北区红河路68号,31.875877,119.970213
西太湖医院,325路;B15路;西太湖园区巴士X2线,31.698119,119.826335
花园医院(BRT),B21路,31.78021,119.919391
常州市妇幼保健院,江苏省常州市钟楼区丁香路16号,31.788449,119.900009
第一医院,12路;29路;29路高峰;33路;33路高峰;219路;B22路,31.786605,119.96672
第二人民医院,89路;金坛104路;金坛107路;金坛114路;金坛232路,31.740118,119.618738
康瑞世纪医院,209路;1111路;B23路;B2路;H1路;常州216路,31.791091,119.992957
孟河中医医院,35路;57路;235路;236路;236路[不途径惜字洲];240路内环;251路;256路;257A路;257路;259路,32.016581,119.843979
康瑞世纪医院,209路;213路;1111路;常州216路,31.791152,119.992876
关节病专科医院,金坛103A路,31.771107,119.655585
第三人民医院,金坛105路;金坛112路,31.749784,119.562066
第七人民医院,7路;63路;77路;207路;555路,31.729464,120.066526
瀚景口腔医院,12路;557路,31.769021,119.919039
常州德安医院,1路;10路;16路;17路;60路;62路;214路;231路;321路;H1路;H2路,31.76293,119.985861
薛家人民医院-门诊部,江苏省常州市新北区薛家镇瀛平路1号,31.863319,119.929651
滆湖路丽华路(武进医院南院),2路;269路;287路;H4路;K5路,31.694274,119.982721
常州市武进人民医院-东北门,常州市天宁区永宁北路2号,31.798687,119.976518
常州市武进区不孕不育定点医院,江苏省常州市武进区湖塘镇常漕路550号,31.735817,119.963086
横林人民医院(崔桥院区)-停车场,江苏省-常州市-武进区-崔横南路92号,31.728818,120.130453
横林人民医院(崔桥院区)-东门,常州市武进区农药厂路与崔横南路交叉口西北50米,31.728927,120.130424
安琦宠物医院,名桂坊公寓商铺10-7号,31.770026,120.026553
常州方舱医院,江苏省常州市武进区揽月路,31.6839,119.810127
溧阳市汤桥医院,江苏省常州市溧阳市上兴镇汤家桥汤桥-祠堂东400米,31.404924,119.216158
常州市口腔医院综合楼(钟楼院区),常州市钟楼区北直街61号,31.793434,119.964382
