名称,地址,纬度,经度
贝慈·世茂康养照护中心,江苏省常州市新北区太湖东路世茂香槟湖196幢,31.81465,120.00207
国投健康长者公寓,江苏省常州市钟楼区龙江中路57号（国投健康五星长者公寓）,31.796971,119.914698
邹区镇敬老院,江苏省常州市钟楼区邹区镇龙潭村1号,31.77666,119.850827
横山桥镇敬老院,江苏省常州市武进区横山桥镇东方大道南50米（097村道交叉口西140米）,31.767247,120.096634
薛家敬老院,江苏省常州市新北区薛家镇丽园路30号,31.870816,119.922135
天目湖镇敬老院,江苏省常州市溧阳市天目湖镇山边C271西,31.358702,119.430445
溧阳市溧城镇敬老院,江苏省常州市溧阳市博爱路155号,31.443688,119.492334
牛塘敬老院,江苏省常州市武进区牛塘镇丫河路25号,31.736753,119.892351
南夏墅敬老院,常州市武进区河东新街13号,31.646175,119.914484
竹箦敬老院,江苏省常州市溧阳市陆笪村东上线竹箦镇陆笪小学东300米,31.610388,119.351288
湖塘马家巷爱心养老院,常州市武进区湖塘镇马家巷杨家塘79号,31.736007,119.921851
武进区遥观镇敬老院,常州市武进区建设路遥观消费品综合市场南侧约210米,31.702766,120.037435
五星街道社区养老服务中心,江苏常州市钟楼区龙江中路57号,31.797054,119.915574
远晖康养,江苏省常州市新北区龙城大道2168号,31.834687,119.926723
新北区罗溪镇敬老院,江苏省常州市新北区政泰路997号,31.902529,119.83542
聚湖老年公寓,金鸡西路湖塘桥初中东南侧约90米,31.744085,119.947923
常州市雪堰镇敬老院,江苏省常州市武进区雪堰镇潘家村太平桥168号,31.543044,120.041582
溧阳市南渡镇敬老院,常州市溧阳市宁新路春晖苑北侧约160米,31.454745,119.344079
天宁区敬老院,江苏省常州市天宁区延陵东路曹达村168号,31.768886,120.001175
湟里镇敬老院,江苏省常州市武进区湟里镇湟村公路大块头休闲农庄西,31.63038,119.772575
静新老年公寓,江苏省常州市天宁区红梅街道故园路18号,31.799649,119.987654
兆丰老年公寓,常州市天宁区延陵中路兆丰花苑西南侧约30米,31.770144,119.991976
玖玖江南康养中心(戚墅堰店),江苏省常州市武进区戚墅堰街道劳动东路99号,31.723319,120.067209
湖塘北街社区老年公寓,江苏省常州市武进区聚湖东路182号,31.741673,119.958872
嘉泽敬老院,常州市武进区嘉兴路嘉泽新苑西南侧约130米,31.682811,119.795815
戴埠敬老院,常州市溧阳市朝桥东街与嘉新路交叉路口往北约100米,31.345125,119.510241
礼嘉镇敬老院,常州市武进区礼嘉镇新东街150号,31.632744,120.027426
水北红太阳敬老院,江苏省常州市金坛区水北大街133号,31.671782,119.647907
祥福老年公寓,江苏省常州市天宁区前周家村3号63幢,31.768445,119.947468
崔桥敬老院,常州市武进区崔卫路横林庆丰小学西侧,31.725233,120.142346
和悦老年公寓,江苏省常州市钟楼区劳动西路231号嘉仁大厦3楼301,31.777653,119.952203
金坛区汇康养老院,江苏省常州市金坛区北环西路140号,31.75481,119.5678
阳光生态颐养公寓,江苏省常州市溧阳市埭头镇后六村委孔家村58号3幢,31.470209,119.552892
周城敬老院,宏伟路与金峰路交叉口北100米,31.359116,119.334607
常州市金坛区春晖养老院,江苏省常州市金坛区常胜路1号,31.74933,119.572668
常州天禄老年公寓,江苏省常州市武进区夏溪新东街107号,31.713306,119.761817
大唐养老院,江苏省常州市钟楼区永红街道陈渡路188号,31.775593,119.923344
常州市天宁区郑陆镇敬老院,江苏省常州市天宁区迎宾路40号,31.834505,120.089703
常州养老院,江苏省常州市钟楼区邹区镇S340(怀德南路),31.781903,119.853182
常州市新北区康而寿养老服务中心,常州市新北区孟浦线元盛楼西侧约110米,32.013509,119.807557
漕桥镇敬老院,常州市武进区S342,31.525632,120.007285
溧城镇敬老院,常州市溧阳市博爱路68号,31.437749,119.520522
金城镇洮西敬老院,常州市金坛区长荡湖西路与湖边路交叉路口东侧,31.661858,119.53177
溧阳市别桥镇敬老院,江苏省常州市溧阳市湖口桥别桥镇湖边村村民委员会,31.532181,119.501786
溧阳市社渚镇敬老院,社徐线与002县道交叉口东200米,31.309676,119.302723
常州市武进区焦溪村敬老院,常州市天宁区上塘村72号,31.830421,120.143221
幸福天年,常州市钟楼区荆川路小园村湖心岛西北侧约30米,31.768389,119.927093
常州市武进康惠护理院,常州市武进区夏溪西路嘉泽镇夏溪卫生院南侧约210米,31.71266,119.762032
上黄敬老院,常州市溧阳市扬子东路上黄镇农贸市场东北侧约140米,31.542034,119.577737
溧阳后周下梅养老院,江苏省常州市溧阳市下梅超市西侧290米,31.545234,119.377614
春江镇敬老院,常州市新北区Y518常州鼎武医院,31.93222,119.988687
天宁区康乐颐养家园,江苏省常州市天宁区曹达村168号,31.768709,120.000959
幸福红梅养老服务中心,常州市天宁区翠竹路翠竹新村-南区东侧约50米,31.800905,119.991767
