名称,地址,纬度,经度
红梅公园,常州市天宁区丹青路28号,31.780602,119.980041
青枫公园,江苏省常州市钟楼区月季路88号,31.80354,119.90549
芦墅公园,常林路701号,31.800785,119.946331
蠡河公园,常州市武进区长汀路与锦润路交叉路口往东南约240米,31.749823,119.849959
紫荆公园,江苏省常州市天宁区竹林北路与东经120路交叉路口,31.797597,120.012692
季子公园,江苏省常州市天宁区郑陆镇舜杰路3号,31.822785,120.086216
荆川公园,常州市钟楼区清潭西路88号,31.772668,119.931308
五星公园,江苏省常州市钟楼区星湖路与星园路交叉口,31.789287,119.925207
花溪公园,江苏省常州市武进区北大街166号,31.735757,120.066229
翠竹公园,常州市天宁区翠虹路1号,31.792077,120.004561
圩墩遗址公园,常州市武进区中吴大道,31.723232,120.064409
滆湖低碳湿地公园,江苏省常州市武进区镇塘桥,31.647761,119.894703
愚池公园,金城镇沿河东路,31.740377,119.572617
奔牛公园,常州市新北区奔牛镇金牛中路12号,31.86204,119.824859
紫藤公园,常州市新北区辽河路与龙六路交叉口西南200米,31.857294,119.978617
常金公园,常州市钟楼区江凌路恒泰商务宾馆(建凌路)东北侧约200米,31.780227,119.869419
胜西公园,常州市武进区凤栖路与镜湖路交叉路口往东南约190米,31.62808,119.960727
舜过山森林公园,江苏省常州市天宁区郑陆镇查家线,31.856085,120.185854
爱心公园,常州市钟楼区怀德中路160号,31.783679,119.934301
西林公园,常州市钟楼区中吴大道2188号,31.776173,119.886433
