名称,地址,纬度,经度
常州大学(西太湖校区),武进经济开发区丰泽路与稻香路交叉口,31.714195,119.832018
常州大学(科教城校区),江苏省常州市武进区滆湖中路21号,31.690259,119.963962
溧阳开放大学,常州市溧阳市育才南路溧阳开放大学,31.406927,119.486949
常州纺院老年大学,常州市天宁区丽华北路丽华村,31.757263,119.984744
常州大学机械与轨道交通学院,江苏省常州市武进区常武中路18号常州科教城乐行楼,31.690448,119.969655
南京师范大学常州创新发展研究院,江苏省常州市新北区通江中路307号,31.830053,119.982303
武进南大未来技术创新研究院,江苏省常州市武进区嘉泽镇嘉兴路1号(延政西大道与嘉兴路交叉口东南侧),31.704808,119.799229
江理工大学科技园,江苏省常州市钟楼区荆川路108号,31.770206,119.927053
河海大学-经济与金融学院,江苏省常州市金坛区河海大学33号楼,31.682463,119.582513
常州大学(科教城校区)-西1门,江苏省常州市武进区滆湖路5号,31.689505,119.957058
