名称,地址,纬度,经度
凤美小区,广州市黄埔区新南北街与新南二街交叉路口往北约210米,23.387407,113.503352
石井街道,广东省广州市白云区,23.212058,113.232249
白云区石门街道红星亭岗社区,广州市白云区红星亭岗街48号附近,23.222932,113.234005
广州市白云区鹤龙街道办事处,广东省广州市白云区鹤泰路6号,23.221104,113.277269
荔城街道办事处,广东省广州市增城区荔城街道荔城大道148号,23.299665,113.830186
广州市增城区人民政府宁西街道办事处,广东省广州市增城区镇前街25号,23.222589,113.666618
广州市白云区人民政府新市街道办事处,广东省广州市白云区新市街道汇侨中路28号,23.205299,113.262994
从化区城郊街道办事处,新村北路55号,23.562781,113.590109
广州市增城区人民政府荔湖街道办事处,广东省广州市增城区荔湖街道罗岗村荔湖大道91号,23.251639,113.834353
增江街道办事处(应急管理办公室),广东省广州市增城区东桥东路8号,23.292064,113.848521
永平街道,广东省广州市白云区,23.240389,113.310084
穗北社区,广东省广州市黄埔区凤凰四路,23.391899,113.498875
广州市白云区同和街道斯文井社区,广东省广州市白云区广州大道北与南湖东路交叉口西50米,23.22082,113.336444
北星社区,广东省广州市从化区城郊街道,23.56058,113.591016
合成小区,广东省广州市花都区狮岭镇合成市场南街1号,23.457982,113.189621
广州市从化区城郊街明珠社区卫生服务中心,广东省广州市从化区建设南二巷10号,23.60043,113.540074
新村社区居委会,广东省广州市从化区新村东路61-1,23.556357,113.592176
港头社区居民委员会,广东省广州市花都区花东镇,23.437871,113.413365
旺城南社区,广东省广州市从化区城郊街道,23.560599,113.578725
嘉禾街道办事处,广东省广州市白云区鹤龙二路1179号,23.256667,113.294666
新雅街道办事处,广州市花都区雅源中路18号,23.364783,113.226513
龙归街道,广东省广州市白云区龙瑞街13号、14号,23.282517,113.3271
天鹿小区(临时站),广东省广州市黄埔区市一环路联和段109号,23.203271,113.432124
卢屋社区,广州市从化区吕田镇塘田村105国道南100米,23.77515,113.885168
宝峰豪庭小区,宝峰南路19号,23.466074,113.181802
荔湖街道明星村村民委员会,广东省广州市增城区荔城街岗前西路15号,23.289725,113.833535
派潭社区,广东省广州市增城区派潭镇,23.494892,113.790409
从化经济开发区社区居民委员会,广州市从化区回归路三巷从化怡景楼西侧约30米,23.446218,113.499886
塘圈路小区,广州市从化区塘圈路3号,23.562236,113.58279
宁西街道宁西社区,广州市增城区太新路31号,23.225246,113.666006
汇福楼小区,广州市花都区风神大道1号,23.384105,113.190874
洛柴岗社区,广东省广州市花都区侨南二路,23.42544,113.379522
黄石街道,广东省广州市白云区,23.217942,113.290991
凤美小区-北门,广州市黄埔区新南北街与新南二街交叉路口往北约270米凤美小区,23.388324,113.503172
从化区莲塘村社区综合服务中心,太平镇夏湾拿莲塘村供销社后面,23.489262,113.497918
九龙湖国际社区,广州市花都区九龙湖森林公园(九龙湖国际小区),23.465774,113.432173
中共吕田社区支部委员会,广州市从化区北街吕田社区,23.817292,113.957229
钟落潭社区,广东省广州市白云区钟落潭镇,23.390643,113.413293
街口街道办事处-东门,广州市从化区河滨南路6-8号,23.550402,113.598108
供电小区-1幢,广州市增城区荔兴路供电小区,23.296935,113.834229
西宁社区,广东省广州市从化区街口街道,23.555643,113.595442
镇北社区,广东省广州市从化区城郊街道,23.556799,113.60084
人社社保就业服务窗口(黄埔区永和街道青藤社区党群服务中心),翠蔓大街3号1楼,23.21511,113.558786
从化区公安局河西派出所新村社区警务室,广东省广州市从化区西宁中路五巷与新村路交叉口东南方向80米,23.556032,113.5928
周园小区开园社区居民委员会,城丰路周园小区,23.299729,113.833966
关围社区,广州市从化区新城西路102号附近,23.559474,113.58578
股赣州广州市公安局白云分局钟落潭派出所湴湖社区警务室,广州市白云区广从九路与湴湖墩横路交叉路口往西约100米,23.414258,113.466162
沿江南社区,尚景路136号,23.539009,113.601417
杨荷社区居民委员会侨联小组,广东省广州市花都区花东镇Y803(侨杨路),23.451426,113.454054
街口街社区卫生服务中心-工会委员会,广州市从化区街口教育路商贸大厦(教育路),23.557034,113.593356
派潭社区退役军人服务站,广东省广州市增城区榕林路60号,23.494776,113.790365
棋杆社区居务监督委员会,广东省广州市从化区鳌头镇棋杆墟镇中路23号,23.586542,113.51151
鳌头社区居务监督委员会,广东省广州市从化区前进东路1号,23.62558,113.431755
荔城街继枚社区党群服务站,广州市增城区文化路东一巷增城中学南侧,23.295455,113.841509
城郊街旺城社区老年人协会,广州市从化区旺城北路一巷旺城市场南侧约70米,23.562709,113.578814
小楼镇居委会计划生育办公室,广东省广州市增城区小楼镇幼儿园(增城区小楼镇政府东北),23.385263,113.840039
街口街道城南村村民委员会-南门,广州市从化区凤仪西路31号,23.547219,113.58921
增江街道退役军人服务站,广东省广州市增城区大村岭二路,23.279857,113.863503
街口街新村社区残疾人协会,广州市从化区西宁中路五巷从化商业幼儿园西南侧,23.556027,113.5928
友丰小区-3号楼,广州市增城区友丰路友丰小区,23.304818,113.839358
洛柴岗社区党群服务中心,广州市花都区侨南二路洛柴岗社区,23.425404,113.379431
增城市正果镇正果社区残疾人协会,广州市增城区正果大道正果镇中心小学西南侧约80米,23.421964,113.900693
小楼社区居委会老年人协会,广东省广州市增城区小楼镇幼儿园(增城区小楼镇政府东北),23.385267,113.840038
街口社区,广东省广州市从化区街口街道,23.55744,113.592042
联星社区交通安全领导小组办公室,广州市从化区龙井路联星小学西侧约50米,23.550271,113.603865
荔城街道继枚社区-28号楼,广东省广州市增城区江陵里28号楼(和平路西二巷),23.295165,113.842391
荔城街道继枚社区-35号楼,广州市增城区江陵里32号楼(文化路东),23.295303,113.842332
良口社区-2栋,新街联群移民楼2期,23.727145,113.742915
梅红小区-11号楼,广东省广州市从化区江埔广州医学院从化学院(大江路北),23.549599,113.613396
沿江路小区(从化)-17栋,广州市从化区红荔路沿江路小区(从化),23.54926,113.601467
荔城街沿江社区居委会妇代会,广东省广州市增城区横街口一巷1号,23.285687,113.841925
友丰小区-4号楼,广东省广州市增城区广丰路友丰小区(富和小区北),23.304598,113.838689
街口街城西社区出租屋管理服务站,广东省广州市从化区西宁西路二巷新时代家园东北侧约160米,23.557397,113.590668
街口街新村社区老年人协会,广州市从化区西宁中路五巷从化商业幼儿园西南侧,23.556027,113.5928
湘江路小区-西门,广州市增城区相江路120号,23.294905,113.845976
荔苑居委会社区退休职工管理服务站,广州市从化区荔苑青云路广州市从化区总工会,23.541485,113.589916
沿江路小区(从化)-13栋,广州市从化区红荔新村13栋,23.549265,113.601508
梅红小区-1号楼,广东省广州市从化区江埔街大江路16号之四,23.549827,113.612061
友丰小区-41号楼,广州市增城区广丰西路友丰小区,23.30441,113.838694
新村社区,广东省广州市从化区街口街道,23.556026,113.592435
凤凰社区居委会劳动保障服务工作站,广州市增城区解放路36-38号,23.292943,113.844774
流溪河林场安居小区-南1门,广东省广州市从化区流溪香雪大街流溪河国家森林公园,23.74941,113.785186
心连心化肥(从化区江埔街道站),广东省广州市从化区江埔街道S256(从樟一路),23.527401,113.648862
金城优选社区便利服务中心,广东省广州市从化区城郊街道明珠工业园明珠大道茶仔园,23.604816,113.534528
雍晟美景家园-4栋,广东省广州市从化区新城中路89号,23.557361,113.590289
人社农保服务窗口(从化区江埔街江埔社区党群服务中心),江埔街环市东路915号,23.580251,113.624325
人社农保服务窗口(从化区吕田镇东明社区居民委员会),吕田镇东和街2号,23.898966,113.880951
人社农保服务窗口(从化区江埔街联星社区居民委员会),江埔街龙井路18号,23.55047,113.604125
杨荷居委会劳动保障服务工作站,广东省广州市花都区Y803(侨杨路),23.451425,113.454055
吉星社区居民委员会消防安全委员会,广州市从化区七星路江埔社区东侧约40米,23.546024,113.604639
