名称,地址,纬度,经度
广州市花都区人民医院,广州市花都区新华街新华路48号,23.379378,113.218493
广州医科大学附属第一医院(大坦沙院区),广州市荔湾区桥中中路28号,23.138882,113.227676
广州市妇女儿童医疗中心,广东省广州市越秀区人民中路318号,23.125606,113.260216
广州中医药大学第一附属医院,广东省广州市白云区白云机场路16号,23.163657,113.270998
南方医科大学南方医院,广州市白云区广州大道北1838号,23.194085,113.337322
南方医科大学第三附属医院,广州市天河区中山大道西183号,23.140487,113.369291
广州医科大学附属第一医院,广州市越秀区沿江西路151号,23.118849,113.268565
广州市番禺区中医院,广东省广州市番禺区市桥街桥东路65、93号,22.944624,113.376042
广东省中医院大学城医院,广州市番禺区大学城内环西路55号,23.053715,113.396163
广州医科大学附属第五医院,广东省广州市黄埔区黄埔街港湾路621号,23.112525,113.452342
广州市第一人民医院,广州市越秀区盘福路1号,23.13728,113.262895
广州医科大学附属第二医院,广东省广州市海珠区昌岗东路250号,23.09623,113.285023
广东省人民医院,广东省广州市越秀区中山二路106号,23.130692,113.293366
广东省第二人民医院天河医院(广东燕岭医院),广东省广州市天河区粤垦路533号,23.161059,113.336372
广州市番禺区中心医院,广州市番禺区桥南街道福愉东路8号,22.91663,113.382473
中山大学附属第三医院,广州市天河区天河路600号,23.139629,113.347852
中山大学附属第一医院,广东省广州市越秀区中山二路58号,23.132666,113.29744
中国人民解放军南部战区总医院,广东省广州市越秀区流花街道流花桥社区流花路111号,23.148509,113.261425
中山大学附属第三医院岭南医院,广东省广州市黄埔区联和街道暹岗社区开创大道2693号,23.176675,113.478634
暨南大学附属第一医院,广州市天河区黄埔大道西613号,23.132656,113.357129
广东省第二人民医院,广东省广州市海珠区新港中路466号大院,23.099731,113.340273
祈福医院,广东省广州市番禺区鸿福路3号,22.974813,113.331915
广州市海珠区中医医院,广州市海珠区前进路56号,23.107611,113.281719
广州医科大学附属第一医院(花地湾院区),广东省广州市荔湾区花地街道花地大道中3号,23.08758,113.241497
南方医科大学皮肤病医院,广州市越秀区麓景路2号,23.147726,113.284564
南部战区总医院(白云院区),广东省广州市白云区同和街道白灰场路15号,23.192579,113.33134
广州市红十字会医院,广州市海珠区同福中路396号,23.110726,113.268565
广州市第十二人民医院,广东省广州市天河区天强路1号,23.135051,113.32504
南方医科大学珠江医院,广东省广州市海珠区工业大道中253号,23.087039,113.276064
广东省中医院二沙岛分院,广州市越秀区二沙岛大通路261号,23.11763,113.309859
广东省中医院(大德路总院),大德路111号,23.124239,113.262988
广州医科大学附属第三医院(荔湾院区),广州市荔湾区多宝路63号,23.123484,113.240646
广州南粤医院,广东省广州市番禺区市桥环城中路85号(星海公园斜对面),22.945706,113.373819
广东省第二中医院,广州市越秀区恒福路60号,23.149456,113.291607
广州市白云区第三人民医院(良田分院),广州市白云区广从公路留香东江酒店东侧马路对面,23.362636,113.380019
广州市第十二人民医院黄埔新院区,广州市黄埔区宏达路与金竹山路交叉路口往东南约120米,23.105626,113.535909
荔湾中心医院(鹤洞院区),广州市荔湾区鹤洞路124号,23.080619,113.249548
广州东升医院,广东省广州市黄埔区联和街道开创大道3016号,23.178348,113.46785
广州市正骨医院,广州市越秀区东风中路449号,23.137596,113.279115
从化河东医院,广东省广州市从化区环市东路363号,23.549554,113.614363
广东省妇幼保健院(越秀院区),广园西路13号,23.154024,113.254803
中山大学附属肿瘤医院,广州市越秀区东风东路651号,23.137686,113.296528
中山大学附属第六医院(金融城院区),广东省广州市天河区员村街道员村二横路26号,23.124178,113.370636
广州医学院荔湾医院-门诊,广东省广州市荔湾区荔湾路35号,23.132132,113.248503
广州医科大学附属市八医院,广州市白云区嘉禾街道华英路8号,23.239813,113.293831
大岗医院,南沙39路;南沙42路;南沙45路;南沙49路;南沙58路;南沙65路;南沙65路快线;南沙67路,22.810429,113.415447
