名称,地址,纬度,经度
番禺区沙头街敬老院,广州市番禺区沙南路60号,22.954188,113.351529
广州市荔湾区西塱敬老院,民心路8号,23.066129,113.239344
大石镇敬老院,广东省广州市番禺区石南路45号,23.013733,113.307495
南村镇敬老院,广东省广州市番禺区市新路北段828号（南兴花苑隔壁）,23.008482,113.402769
番禺钟村敬老院,广州市番禺区钟汉路与市广路交汇处,22.98669,113.329796
钟落潭镇敬老院,广州市白云区广从八路736号（长腰岭皮草街交叉路口往西南约100米）,23.389741,113.437304
颐年养老院(益鹏苑西南),广东省广州市海珠区赤岗西路37号（益鹏苑西南）,23.09861,113.332888
敬老院,广州市番禺区档铺塘大街直街与中街直街交叉路口往西约230米,23.016656,113.470087
良田村敬老院,广东省广州市白云区良田大道84号,23.357605,113.396173
黄阁敬老院,广州市南沙区黄阁镇莲溪村丹桂路5号,22.837102,113.507342
榄核敬老院,广州市南沙区民生横街5号,22.831943,113.341158
花都区花山镇敬老院,广东省广州市花都区花山镇两龙西街20号,23.46053,113.27865
江高镇敬老院,广州市白云区交通后街一巷启翔幼儿园(交通后街)北侧约100米,23.274096,113.2305
沙湾敬老院,广东省广州市番禺区桃园路2号,22.909021,113.339293
广州市荔湾区鹤洞敬老院,广东省广州市荔湾区鹤翔路8号,23.085679,113.253065
石碁敬老院,广州市番禺区岐山中路2号,22.960418,113.445483
南沙区港湾街道敬老院,广州市南沙区环市大道西79号,22.758248,113.576136
福和敬老院,广州市增城区中新镇福和心岭前路15号,23.354916,113.65222
广州市花都区新雅街敬老院,广东省广州市花都区雅新路9号,23.370992,113.238247
化龙敬老院,广州市番禺区柏堂路61号,23.051008,113.460585
黄埔区老人院,广东省广州市黄埔区港湾西三街70号,23.112994,113.450465
芙蓉敬老院,广州市花都区金狮大道东金砖实验学校西侧约100米,23.471039,113.230064
元气楼敬老院,广州市天河区员村街道元气楼,23.118893,113.364619
