名称,地址,纬度,经度
荔湾湖公园,广州市荔湾区龙津西路155号,23.12631,113.239371
越秀公园,广东省广州市越秀区解放北路988号,23.146421,113.272117
广州白云湖公园,广州市白云区白云湖大道1号,23.234081,113.243624
珠江公园,广州市天河区金穗路900号,23.125738,113.345645
广州文化公园,西堤二马路37号(近西堤邮局),23.115496,113.257713
中心湖公园,广州市番禺区大学城环湖路,23.055761,113.400671
海珠湖公园,广州市海珠区新滘中路168号,23.078995,113.330758
萝岗香雪公园,广州市黄埔区萝岗街道香雪社区玉岩路,23.18903,113.533564
东山湖公园,广州市越秀区东湖路123号,23.121461,113.298677
流花湖公园,广东省广州市越秀区流花路100号,23.14266,113.25741
中山公园,广东省广州市黄埔区长洲街道金洲北路与中山公园前路交口东150米(辛亥革命馆旁),23.07888,113.424068
海心沙亚运公园,广州市天河区临江大道南侧,23.117312,113.331341
长湴公园,广州市天河区长湴东路长湴小站对面,23.178582,113.362511
帽峰山森林公园,广东省广州市白云区头陂帽峰路168号,23.301402,113.465235
广州市麓湖公园,广东省广州市越秀区麓湖路11号,23.157548,113.287935
火炉山森林公园,广东省广州市天河区岑村,23.188187,113.396152
白江湖森林公园,广东省广州市增城区浪拔村,23.513682,113.906265
广东花都湖国家湿地公园,广东省广州市花都区新华街道新华路102号,23.383235,113.238243
银灯食府(文化公园店),"西堤二马路37号广州十三行文化科技中心3楼（近文化公园地铁站A、B出口,近广州文化公园正门）",23.114932,113.258639
增埗公园,广州市荔湾区福州路8号(岭南湾畔隔壁),23.15453,113.24523
创业公园,黄埔区水西路与香雪三路交叉口,23.188643,113.482901
广州市儿童公园,广州市白云区齐心路61号,23.190757,113.278168
南区公园,福德路与德贤路交叉口东南,22.927935,113.364799
谢家公园,广州市白云区棠涌谢家中街12号百顺公寓b栋,23.199781,113.262835
天鹿湖森林公园,广州市黄埔区联和街道天鹿湖社区天鹿北路,23.230642,113.43498
广州海珠国家湿地公园,广州市海珠区新滘中路168号,23.069745,113.341902
天河儿童公园,广东省广州市天河区珠吉路64号,23.137335,113.438212
海珠儿童公园,广东省广州市海珠区广州大道南1861号,23.064402,113.311995
南山公园,广东省广州市番禺区涌口东新高速公路南山公园,22.936357,113.312677
龙湾公园,广东省广州市番禺区沙湾镇龙华路龙湾涌湿地公园,22.907823,113.302508
长隆飞鸟乐园,广州市番禺区大石镇大边村边街183号,23.030892,113.284088
双桥公园,广东省广州市荔湾区坦尾路1号,23.129747,113.225163
石基公园,广州市南沙区清河东路319号,22.903172,113.431833
海中公园,广州市荔湾区海中南约1号,23.059481,113.209
流溪河国家森林公园,广州市从化区良口镇流溪香雪大街48号,23.759387,113.79654
豪华公园,广州市番禺区南华路南村综合市场东南侧,23.012246,113.395612
潭洲公园,广州市南沙区博爱路与锦秀路交叉路口往西北约110米,22.787836,113.394568
文边公园,广州市番禺区文山南约下街6号,22.982741,113.418624
TIT创意园,广东省广州市海珠区新港中路397号,23.104702,113.331429
环滘公园,广东省广州市白云区环滘大道公园前直街11号,23.224766,113.257674
6号公园,广东省广州市番禺区金瓯大道34号,23.028486,113.378242
荫房公园,广州市番禺区涌边上街石二中心公园西侧约130米,22.978047,113.494701
十八罗汉山森林公园,广东省广州市南沙区大岗镇繁荣路,22.7924,113.412632
钟二公园,广州市番禺区市广路与钟汉路交叉路口往南约200米(钟三村西侧约200米),22.981565,113.327901
天河公园,广州市天河区中山大道西218号,23.134134,113.372739
熊猫公园,广州市番禺区大南路九巷二横11号,22.940203,113.373153
体育公园,广东省广州市黄埔区长洲街道丰收二街北150米,23.075823,113.423278
仁和公园,广州市番禺区谢村环村南路106号,22.988483,113.315961
广州兰圃,广州市越秀区解放北路901号,23.149933,113.266967
梁地公园,广州市番禺区南约街坑头村生态公园,22.992991,113.40617
珠光公园,广州市天河区天府路御景雅苑,23.132595,113.36676
石门国家森林公园,广东省广州市从化区温泉镇,23.644706,113.799892
桥头公园,广州市海珠区大沙新村2巷,23.058816,113.335793
黄花岗公园,广州市越秀区先烈中路79号,23.146017,113.301608
南村公园,广州市番禺区汇源直街3号,22.908324,113.345321
龙腾公园,S378(九龙大道)九龙湖公园,23.348292,113.538401
日泉公园,广东省广州市番禺区日泉公园(南街坊大街东100米),22.96758,113.389733
槎龙公园,广东省广州市白云区槎龙村万龙二街44号,23.185978,113.237403
恒美公园,广州市番禺区恒美大道恒美龙眼园南侧约120米,23.012587,113.403226
江滘公园,广州市南沙区长堤东路灵山中学东侧约250米,22.81861,113.427771
行星公园,广东省广州市番禺区S257(福翠路),22.991263,113.32661
百万葵园,广东省广州市南沙区万顷沙新垦十五涌,22.634358,113.626539
晓港公园,前进路146号,23.102833,113.28727
三泰公园,广东省广州市白云区松柏商业大厦1楼a1室,23.171364,113.273808
广州1978文化创意园,广州市增城区沿江东三路15号,23.303319,113.850746
茶园公园,广州市花都区宝华路雅睿幼儿园南侧,23.395674,113.221776
仁德公园,广州市番禺区高田直街7号,22.967261,113.436439
星尚公园,广州市番禺区城区大道星尚名玥花园东北侧约60米,22.953863,113.405285
龙古公园,广州市南沙区振兴路潭山中学西南侧约210米,22.790631,113.387336
