名称,地址,纬度,经度
天海社区居民委员会,海南省海口市秀英区和谐路13-4,20.018434,110.258737
白沙门社区卫生服务站,海口市美兰区和平大道59号(金椰都小区后门),20.072462,110.350616
海口市滨江街道社区卫生服务中心,海南省海口市琼山区新大洲大道256号,19.990571,110.384186
海口市海秀社区卫生服务中心,海南省海口市秀英区秀华路53号,20.013115,110.289083
滨濂社区卫生服务站,海南省海口市龙华区海垦路66-1号,20.010189,110.312791
龙岐社区卫生服务站,海南省海口市美兰区海府路102号,20.025606,110.369977
五贤社区卫生站,海口市美兰区敬贤路6-29号美兰区廉租房A栋1层,20.032526,110.384973
国兴社区卫生服务站,海南省海口市美兰区国兴大道39号,20.023901,110.37892
金贸社区卫生服务中心,海南省海口市龙华区国贸三横路12号(新标榜酒店对面),20.032134,110.323434
桂林洋市场五一社区,海口市美兰区桂林洋大道桂林洋农贸市场,19.988492,110.48204
海口桂林洋经济开发区新群社区居民委员会,海南省海口市美兰区桂林洋大道,20.001446,110.513593
晋美社区居民委员会,海口市美兰区琼文大道灵山农贸市场西南侧约90米,19.972117,110.444932
新东社区居民委员会,海南省海口市美兰区西苑路海口协和新世界幼儿园东侧约60米,20.062425,110.372666
海口市龙华区椰海社区卫生服务站,海口市龙华区创美路喜盈门国际建材家具生活广场(学院路店),19.980819,110.342586
海口市龙华区海垦社区卫生服务中心,海口市龙华区金垦路58号A1-A2号铺,20.013005,110.31649
永卫社区,海口市美兰区福创蔡村,20.022289,110.486316
场部社区居民委员会,海口市美兰区美善路桂林洋中兴幼儿园东北侧约30米,19.989596,110.477591
东占社区居民委员会,海口市龙华区龙泉镇东占文化广场内,19.862648,110.371307
天海社区卫生服务站,海口市秀英区海秀街道和谐路紫园C区62-6-7号商铺,20.016914,110.259051
桂林洋社区卫生服务站,海口市美兰区桂林洋大道166号,19.987651,110.480762
长堤社区居委会,海南省海口市龙华区中山街道大兴西路7号,20.049004,110.349823
拦海社区卫生服务站,海口市美兰区海甸四西路24号甸花新村,20.060346,110.344869
滨涯社区卫生服务站,海南省海口市龙华区滨涯路76号,20.007798,110.302319
万福社区居民委员会,海口市美兰区人民路街道海甸岛五西路万恒路普罗旺斯小区1号楼,20.073574,110.332793
福安社区居民委员会,海南省海口市美兰区海甸街道福安上村433号,20.065485,110.361485
海口市龙华区海垦街道滨濂南社区居民委员会,海南省海口市龙华区滨濂北社区四里101,20.013051,110.310392
大园社区居民委员会,海南省海口市琼山区凤翔街道振兴路大园里6号,19.996067,110.357057
和安花园小区,海口市美兰区碧海大道3号,20.059876,110.362941
新埠街道社区卫生服务中心,海口市美兰区新埠街道新东社区新埠大道群旺新村前排1号,20.070221,110.375328
青年社区卫生服务站,海南省海口市美兰区青年路46号,20.04118,110.372008
美舍社区卫生服务站,海口市美兰区青年路128-1号,20.038127,110.376502
五贤社区居民委员会,美祥路盛贤景都6栋3楼,20.027381,110.383438
椰林社区居民委员会,海口市美兰区中心横街大致坡镇人民政府西北侧约50米,19.808986,110.69119
镇南社区居民委员会,海口市秀英区向群路向群小学东南侧约110米,19.755447,110.242055
滨濂南社区居民委员会,海南省海口市龙华区滨濂北社区四里101号,20.00885,110.3124
海口市秀英区永兴镇观新社区居民委员会,海口市秀英区光伏南路嘉禾小区,19.938121,110.272149
居仁坊,海南省海口市龙华区文明西路与新华南路交叉口东北150米,20.044229,110.350853
华垦社区居民委员会,海南省海口市龙华区海垦路6号,20.018884,110.314066
忠介社区居民委员会,海口市琼山区府城街道忠介路绣衣坊33号,20.006415,110.358768
富兴社区居民委员会,海南省海口市龙华区中山街道彰兴街9号2楼,20.048159,110.348262
塔光社区居民委员会,海口市美兰区美和路泽丰花园,20.023919,110.379275
府城社区居民委员会,海南省海口市琼山区朱吉里路3巷15号,20.007174,110.356179
椰海社区居民委员会,海口市龙华区学院路丁村美居三巷14号,19.979178,110.339178
红坎坡社区居民委员会,海南省海口市美兰区博爱南横路89号楼下1层办公室,20.039588,110.355684
金海社区居民委员会,海南省海口市龙华区芙蓉路11号达嘉豪苑3栋,20.034746,110.301527
三江社区居民委员会,海南省海口市美兰区S201(灵文加线),19.885313,110.609675
社区居民委员会,海口市美兰区桂美路桂林洋青园住宅小区东侧约260米,19.984799,110.476575
滨海社区居民委员会,海南省海口市龙华区滨海街道华信路10号花园大厦3楼,20.046608,110.334382
红旗镇土桥社区,海口市琼山区红旗大道中山双语幼儿园西北侧,19.821945,110.521636
秀中社区居民委员会,海南省海口市秀英区秀英街道秀英大道18号第一砖厂宿舍4栋,20.012721,110.285108
南港社区居民委员会,海口市秀英区站前北路海口站派出所东北侧约280米,20.034628,110.170766
琼苑社区居民委员会,海口市美兰区琼苑路省政府住宅南区20幢,20.036078,110.366272
文政社区居民委员会,海南省海口市琼山区龙昆南路19号乔海阳光大厦,20.020746,110.343519
海恳街道滨濂南社区,海口市龙华区海垦街道,20.013076,110.31038
土桥社区居民委员会,海南省海口市琼山区红旗大道236号,19.82188,110.521552
新埠社区居民委员会,海南省海口市美兰区新埠上村50-2号,20.061315,110.376931
君尧社区居民委员会,海南省海口市美兰区君尧新村115号,20.04181,110.364098
云露社区,海口市琼山区马鞍横街40号,19.999998,110.358394
云露社区卫生服务站,海口市琼山区府城街道府城马鞍横街40号,20.001957,110.358531
恒城社区卫生服务站,海口市龙华区迎宾大道恒大文化旅游商铺M81号铺面,19.96367,110.348883
海口桂林洋开发区迈进社区居民委员会,海南省海口市美兰区桂林洋大道,19.997918,110.5102
社区运动健康中心(力鼎健身),海南省海口市龙华区滨海街道八灶街与滨河横路交叉口玉璟佳园外围铺面三楼整层,20.041293,110.338419
海口市龙华区城西镇椰海社区退役军人服务站,海口市龙华区学院路海口山高实验学校(新区)(建设中)西南侧约40米,19.979175,110.339169
国兴街道攀丹社区卫生服务站-预防接种门诊,海口市琼山区国兴大道68号省体校运动场南门铺面,20.018254,110.379739
攀丹社区菜市场,中丹路203号,20.017441,110.382649
爱华社区卫生服务站,海南省海口市秀英区海港路23-1号,20.022311,110.288769
秀英区海秀街道爱华社区居委会扫黄打非工作站,海口市秀英区丘海一横路华洋公寓,20.022119,110.296027
海口市美兰区桂林洋经济开发区社区卫生服务中心-发热门诊,海口市美兰区兴洋大道112号,19.995853,110.48281
琼山区滨江街道博桂社区居委会扫黄打非工作站,海口市琼山区下坎东路金盛元小区,20.000824,110.383711
海口市龙华区滨海街道办事处八灶社区工作站,海口市龙华区玉河路环球龙华大厦西北侧约90米,20.040088,110.340625
海口市美兰区和平南街道琼苑社区居民委员会退役军人服务站,美兰区琼苑广场E2栋101-106铺面,20.036047,110.366194
人社社保就业服务窗口(滨港社区工作站),华信路10号花园大厦3楼,20.045701,110.335275
大园社区卫生服务中心,海南省海口市琼山区凤翔西路4号,19.993086,110.356697
海口市美兰区博爱街道联桂坊社区居民委员会退役军人服务站,海南省海口市美兰区博爱南路153-1号,20.043515,110.354319
蓝天街道办事处万华社区居委会便民服务代办点,海口市美兰区西沙路星华佳园3楼,20.026567,110.344401
海口市美兰区人民街道美丽沙社区居民委员会退役军人服务站,海口市美兰区世纪大道恒大美丽沙,20.077606,110.326766
琼山区滨江街道铁桥社区居委会扫黄打非工作站,海口市琼山区铁桥路响水湾东南侧约110米,19.981095,110.408422
