名称,地址,纬度,经度
海南医科大学第一附属医院,海南省海口市龙华路31号,20.03453,110.339587
海南省人民医院,海南省海口市秀英区秀华路19号,20.011119,110.294165
海口市人民医院,海口市美兰区人民大道43号,20.066444,110.348141
海口市中医院,海南省海口市龙华区金盘路45号,19.997587,110.334378
海南省第五人民医院(江东院区),海南省海口市美兰区振洋路17号,19.996705,110.475924
海南省人民医院(观澜湖南院),海口市龙华区星影大道,19.922981,110.363252
海南医科大学第二附属医院,海南省海口市龙华区白水塘路48号,19.985433,110.306649
武警海南省总队医院,海南省海口市美兰区文明东路27号,20.045992,110.374439
海口市第三人民医院,海南省海口市琼山区府城街道建国路15号,20.011075,110.363797
海口市第四人民医院(总院),海南省海口市琼山区椰海大道65号,19.98369,110.381885
海口经济学院附属医院,海南省海口市美兰区桂经路55号,19.972814,110.498692
海口市人民医院(海港分院),海南省海口市秀英区海港路19号凯威大酒店对面,20.023176,110.290033
海南省中医院(和平北院区),海南省海口市美兰区和平北路47号,20.049717,110.36091
海南省妇女儿童医学中心(海南省儿童医院),海南省海口市秀英区长流镇长滨路五源河体育馆北行50米路西,20.036823,110.213381
海南省肿瘤医院,海口市秀英区长滨西四街9号,20.048346,110.191409
海口市人民医院(龙昆南门诊部),海南省海口市龙华区龙昆南路50号昌茂花园钻石大厦3楼,20.016659,110.344014
海南医学院第二附属医院(东湖分院),海府路8号,20.038201,110.355118
海口市妇幼保健院,海南省海口市琼山区国兴大道文坛路6号,20.017213,110.379662
海口医博医院,海南省海口市琼山区兴丹路5号,20.017864,110.374721
海南省眼科医院,海南省海口市秀英区秀华路19号,20.010722,110.295467
海口市中医院(琼山分院),海南省海口市琼山区琼州大道178号,19.997883,110.377032
海南省安宁医院,海口市龙华区南海大道东10号,20.000305,110.343703
海口市中医医院(文明中分院),海南省海口市文明中路113号,20.045453,110.356589
海口椰城医院,海南省海口市琼山区凤翔东路125号,19.993341,110.364885
海南省妇幼保健院,海南省海口市琼山区府城街道龙昆南路75号,20.006711,110.347866
海南大医中医院,海南省海口市琼山区滨江路(滨江度假城),19.992158,110.392728
海南骨科医院,海口市龙华区海秀中路96号,20.022583,110.320805
海口市骨科与糖尿病医院,海南省海口市秀英区长秀路3号,20.026475,110.269545
海南国雅口腔医院,海南省海口市美兰区海府路77号,20.032755,110.366214
市医院,5路;15路;19路;21路;41路;44路;G30路;夜2路;夜3路;夜8路,20.065288,110.345845
第187医院门诊部,海口市龙华区龙昆南路中国人民解放军联勤保障部队第九二八医院,19.995261,110.347166
海口市第四人民医院(分院),海口市琼山区府城镇宗伯里横34号,20.007586,110.36048
中国人民解放军联勤保障部队第九二八医院,海口市龙华区龙昆南路,19.995167,110.345824
海南爱牙口腔医院,海南省海口市美兰区蓝天路15号,20.030128,110.348751
海南国爱眼科医院,海南省海口市美兰区海甸五西路2号圣地亚哥,20.068183,110.344381
海南国瑞中医院,海南省海口市龙华区白水塘路40号,19.986694,110.304887
海南省第五人民医院(龙华总院),海南省海口市龙华区龙华路8号,20.04613,110.342001
海南省人民医院-门诊部,海南省海口市秀英区秀华路19号,20.012703,110.294309
海口幸福医院,海南省海口市龙华区滨海大道23号,20.046255,110.337273
新康司法医院,海口市琼山区琼州大道国公馆西侧约100米,20.009418,110.365287
海南华美医学美容医院,海南省海口市秀英区丘海大道30号,20.016306,110.300182
海南省老年病医院,海南省海口市琼山区新桥路15号,20.001171,110.370631
海口市人民医院(滨江分院),海南省海口市琼山区新大洲大道223号,19.968155,110.404533
汉唐医院,海南省海口市秀英区海盛路35号,20.01678,110.266233
谢宝石中医院,海南省海口市美兰区新埠上村-100号,20.059436,110.377799
市医院东门,5路;39路;71路;夜2路;夜3路,20.066385,110.350702
海南医学院第二附属医院-门诊楼,海南省海口市龙华区椰海大道368号,19.983744,110.305249
中国人民解放军联勤保障部队第九二八医院-内科大楼,海南省海口市龙华区龙昆南路100号,19.995541,110.346492
中国人民解放军联勤保障部队第九二八医院-外科大楼,海南海口市龙华区龙昆南路100号第187医院,19.995268,110.345597
海口肤康皮肤病医院,海南省海口市美兰区海府路97号(省彩票管理中心旁),20.025827,110.370792
中国人民解放军联勤保障部队第九二八医院-发热门诊,海南省海口市龙华区龙昆南路166号,19.99619,110.346643
海南省老年病医院医联体医院,海口市龙华区南沙路海南建国医院,20.011487,110.333727
关爱医院-门诊,海南省海口市秀英区向荣路福秀小区6号铺面,20.009182,110.276126
海南省皮肤病医院-秀英门诊部,海南省海口市秀英区海盛路3号,20.019123,110.285923
海南省人民医院医疗联合医院琼山门诊部,海南省海口市琼山区中山南路42号,19.999308,110.367036
中国人民解放军联勤保障部队第九二八医院-东门,海口市龙华区龙昆南路100号,19.995524,110.347548
海口市人民医院(西院),海南省海口市秀英区G225,20.004786,110.187085
中国人民解放军联勤保障部队第九二八医院-医技楼,海南省海口市龙华区龙昆南路100号,19.995874,110.347147
海口方舱医院,海南省海口市秀英区滨海大道258号海南国际会议展览中心6~8号馆,20.063129,110.199854
海口市妇幼保健院(解放东分院),海南省海口市龙华区解放东路15号,20.046676,110.351314
海南省人民医院-南门,海南省海口市秀英区美俗路14号,20.008934,110.293992
海口市中医院-放射科,海口市龙华区坡巷路海口市中医院,19.997712,110.334447
海口市人民医院-北区,海口市美兰区人民大道43号,20.066584,110.348218
