名称,地址,纬度,经度
海南省灵山镇桥东村民委员会,海南省海口市美兰区灵山镇大道292号,19.990706,110.421657
青合社区居民委员会,海南省海口市美兰区兴洋大道62东南方向110米,19.986415,110.480735
新市村民委员会,海南省海口市美兰区灵山镇琼山大道86号,20.032889,110.411838
群庄村民委员会,海南省海口市演丰镇,19.973122,110.524712
演丰镇昌城村民委员会,海南省海口市美兰区演丰镇昌城村,19.948731,110.531273
旧州镇光明村民委员会,海口市琼山区158乡道西50米,19.731631,110.440686
演丰镇塔市村民委员会,海口市美兰区演丰镇民委员会,20.00282,110.538838
东营村民委员会,海南省海口市美兰区灵山镇罗王村250号(罗王文化广场正对面),20.05502,110.430178
演丰镇美兰村民委员会,海口市美兰区灵文加线,19.939795,110.502294
灵山镇福玉村民委员会,海南省海口市美兰区琼文大道,19.962468,110.462601
海口市美兰区大致坡镇金堆村村民委员会,海南省海口市美兰区大致坡镇金堆村28号,19.852821,110.680833
大林村村民委员会,海南省海口市美兰区灵山镇大林村委会大林墟美育幼儿园,20.006262,110.458011
大同里社区居民委员会,海南省海口市龙华区大同里479号,20.039641,110.345322
海口市环境监察委员会,海口市龙华区龙华路38号,20.039491,110.341167
灵山镇群山村民委员会,海南省海口市美兰区灵山镇龙塘路琼灵幼儿园附近西南方向110米,19.969223,110.436171
道美村民委员会,海口市琼山区202省道东50米,19.731262,110.41489
旧州镇红卫村民委员会,海口市琼山区202省道附近,19.824422,110.444962
捕捞社区居民委员会,海口市美兰区捕捞村251号,20.059526,110.336315
永群村民委员会,海南省海口市美兰区大致坡镇,19.784593,110.647146
旧州镇池连村民委员会,海南省海口市琼山区旧州镇池连村委会1-1号,19.760585,110.458909
儒林村民委员会,海南省海口市云龙镇,19.837069,110.424278
灵山镇红丰村民委员会,海南省海口市美兰区灵山镇红丰村,19.993396,110.450606
灵山镇灵山村民委员会,海口市美兰区琼山大道,19.989432,110.426298
锦丰村民委员会,海口市美兰区灵中路灵山中学西北侧约40米,19.97424,110.448581
长滨社区居民委员会,西秀镇长滨四路绿地海长流3期商业街三楼,20.056058,110.19774
云蛟村民委员会,海口绕城高速,19.918199,110.474582
三门坡镇晨光村民委员会,海南省海口市琼山区三门坡镇晨光村,19.737469,110.525537
联桂坊社区居民委员会,海南省海口市美兰区文明中路联桂坊一172号,20.043541,110.354262
海南省卫生健康委员会,海南省海口市美兰区海府路38号,20.033633,110.364135
滨海新村社区居民委员会,滨海新村504号,20.03948,110.332057
海口桂林洋经济开发区新群社区居民委员会,海南省海口市美兰区桂林洋大道,20.001446,110.513593
中国共产党海南省冶金工业总公司委员会,海口市美兰区文明中路150号中共,20.044998,110.356729
南联社区居民委员会,海南省海口市美兰区田边路100号,20.043836,110.355944
西秀镇荣山寮村民委员会,海南省海口市秀英区西秀镇海榆西线23正东方向170米,20.030128,110.157147
崇德村委会,海南省海口市美兰区X146,19.829092,110.579075
龙新村委会,海口市龙新小学东南侧,19.895367,110.39951
海口市美兰区和平南街道光阳社区居委会,海南省海口市美兰区和平南横巷8号,20.04053,110.35935
海口市美兰区海府街道办事处大英社区居民委员会,大英村大英三里123号,20.03189,110.349167
海口市美兰区龙文坊居民委员会,海南省海口市美兰区牛角村45号,20.046778,110.35537
城西镇大样村村民委员会,海南省海口市龙华区城西镇迎宾大道89号,19.96635,110.3421
向荣村村民委员会,海口市秀英区向荣路东50米,20.007762,110.270126
薛村村民委员会,海口市龙华区城南路与消防后路交叉路口往西南约160米,19.970352,110.35907
府城镇石塔村民委员会,海南省海口市琼山区道畔路21号西南方向120米,19.976613,110.358396
新坡镇文山村民委员会,海南省海口市龙华区新坡镇220乡道东50米,19.736409,110.353401
海口市琼山区劳动人事争议仲裁委员会,海南省海口市琼山区椰海大道社保大楼3楼,19.989437,110.392553
仲恺村民委员会,海口市美兰区江东大道,20.049191,110.423478
万福社区居民委员会,海口市美兰区人民路街道海甸岛五西路万恒路普罗旺斯小区1号楼,20.073574,110.332793
金甸社区居民委员会,海南省海口市美兰区水岸星城A区B1栋105～106房,20.053722,110.352646
海口空港综合保税区管理委员会,海南省海口市美兰区机场路联络线,19.945066,110.498779
周仁村民委员会,海南省海口市秀英区周仁中街与椰海大道交叉口西南约220米,19.983973,110.277146
土尾社区居民委员会,土尾村46号,20.071181,110.3784
凤翔街道办事处红星村民委员会,海南省海口市琼山区红星路,19.977612,110.373522
海秀镇业里村民委员会,海南省海口市秀英区业里南街,19.991053,110.275233
长流镇美德村民委员会,海口市秀英区225国道南200米,20.016044,110.211402
灵山镇东和村民委员会,海南省海口市美兰区文明东路65号西南方向40米,20.06692,110.391884
西秀镇博养村民委员会,海南省海口市秀英区海秀快速路(博养小学西北侧约300米),20.030135,110.187807
海南省卫生健康委员会统计信息中心,海南省海口市美兰区白龙南路45号卫生计生委,20.034388,110.368743
天海社区居民委员会,海南省海口市秀英区和谐路13-4,20.018434,110.258737
双拥社区居民委员会,海口市琼山区育民街国兴园幼儿园东北侧约60米,19.766302,110.416572
大致坡镇大东村委会,海南省海口市美兰区东城一街与抱罗路交叉口南50米,19.809393,110.697587
海口市卫生健康委员会,海口市秀英区长滨三路民政府16号南楼五层,20.052003,110.204886
海口市发展和改革委员会,龙昆北路19号海口市人民政府1号楼1层,20.050274,110.204816
美庄村委会群众工作服务点,灵山镇白驹大道,20.015759,110.424379
三江镇三江村民委员会退役军人服务站,海南省海口市美兰区S201(灵文加线),19.874832,110.610514
永兴社区居民委员会,海口市龙华区永兴街44号2楼,20.046858,110.348663
灵山村民委员会,海口市美兰区琼文大道与文西三街交叉路口东北侧,19.971891,110.445023
海口市仙桃花园住宅区-业主委员会,海口市美兰区人民大道23号,20.059788,110.347832
园内里居民委员会,海南省海口市龙华区园内里12-2号,20.043481,110.352834
海口市美兰区大致坡镇美良村民委员会退役军人服务站,海南省海口市美兰区大致坡镇美良村委会,19.783751,110.593065
滨江街道北冲溪社区居务监督委员会,海南省海口市琼山区滨江度假城3号楼底商103,19.991142,110.392674
中山街道办事处富兴社区事务监督委员会,海口市龙华区富兴街海口骑楼老街,20.04826,110.347973
红旗镇龙榜村民委员会退役军人服务站,海南省海口市琼山区红旗镇龙榜小学,19.802331,110.520604
海口市美兰区监察委员会派出海甸街道监察室,海南省海口市美兰区碧海大道200号吉安花园1号,20.065349,110.36365
中共琼山区红旗镇委员会,海南省海口市琼山区海榆东线,19.82441,110.518921
中共国营三江农场委员会,海口市美兰区212省道东200米,19.887973,110.629612
中共旧州镇池连村支部委员会,海口市琼山区148乡道与150乡道交叉口西50米,19.760551,110.458781
中共云龙镇云阁村支部委员会,海口市琼山区云阁村附近,19.89609,110.514495
中共昌福村支部委员会,海南省海口市美兰区昌福村,19.843058,110.655466
红旗镇昌文村村务监督委员会,海口市琼山区海榆(东)线,19.828744,110.515233
