名称,地址,纬度,经度
海口西海岸挺秀公园,海南省海口市秀英区长海大道与长滨东三街交叉口西北50米,20.05224,110.200601
万绿园,海口市龙华区滨海大道38号,20.03977,110.320249
金牛岭公园,海口市龙华区海秀中路102号,20.015591,110.324178
白沙门公园,海南省海口市美兰区海甸六东路10,20.077497,110.342082
海南文化体育公园,海口市琼山区国兴大道68号,20.021459,110.381955
海口人民公园,海南省海口市龙华区公园路2号,20.039985,110.350137
秀新健康主题公园,秀新路51号东70米,20.010149,110.289797
美舍河带状公园,海口市琼山区国兴大道与海府立交桥交叉口南50米,20.022001,110.375448
雷琼世界地质公园(海口园区),海口市秀英区石山镇风景路89号,19.93304,110.227585
丘浚文化公园,海南省海口市秀英区丘海大道103号,19.996773,110.302393
道孟河湿地公园,海南省海口市美兰区江东大道,20.03452,110.464992
西秀海滩公园-海景宝贝,海南省海口市秀英区滨海大道西秀海滩公园,20.030005,110.270128
云龙三十六曲溪湿地公园,海南省海口市琼山区S202(云文线),19.83682,110.44616
琼山区府城三角公园,海南省海口市琼山区府城街道建国路18号嵩阳大厦,20.009084,110.361363
南渡江公园,海口市琼山区滨江路南渡江西岸,20.015553,110.387792
紫园美林运动公园,海口市秀英区美林路紫园D区西北侧,20.020798,110.259017
芙蓉河湿地公园,海口市美兰区江东大道,20.021929,110.492153
演丰乡村公园,海口市美兰区东寨港大道,19.968365,110.524219
华海公园,海口市龙华区龙昆北路与南大立交桥交叉路口往西南约70米,20.028973,110.337639
琼山区市民健康主题公园,海南省海口市琼山区椰海大道3号西北方向170米,19.988422,110.392613
双创公园,海口市美兰区桂林洋大道场部小区东侧约190米,19.988118,110.479132
狮子岭街心公园,永兴镇海榆中线88公里,19.943412,110.274219
美兰区宪法主题公园,海口市美兰区朝霞路芙蓉小区东北侧约30米,20.043661,110.376807
海口城市中央公园,海口市龙华区世纪公园中路与世纪公园二横路交叉口西北150米,20.047455,110.325186
书香公园,海口市琼山区滨江路江湾兰庭东北侧约80米,20.011055,110.38291
新旧沟湿地公园,海南省海口市龙华区,19.857248,110.3961
街心公园,海口市龙华区长堤路海口骑楼老街,20.049412,110.348886
丘贤园,海南省海口市龙华区城西镇丘海大道高邦足球训练基地北,20.00094,110.301762
五源河国家湿地公园中韩志愿者友好生态塘,海南省海口市秀英区长流镇,20.03564,110.230536
保明村文体公园,海南省海口市龙华区龙桥镇保明村,19.94632,110.357901
人口文化园,海口市龙华区南沙路银坡小区西北侧约30米,20.0058,110.327092
美安科技新城中心公园,海口市秀英区美安二环路美安华府南侧约150米,19.933451,110.182338
凌博雕塑园,白龙北路25号,20.074273,110.339137
滨江西带状公园,海口市琼山区滨江路与美丹路交叉路口东侧,20.018928,110.386089
滑板公园,海南省海口市龙华区羊山大道49号,19.923405,110.335857
羊山休闲公园,海南省海口市龙华区羊山大道西全岛休闲中心,19.927694,110.349529
口袋公园,海南省海口市美兰区白沙街道白龙北路2号,20.054284,110.366031
小游园,海口市秀英区秀丽路泰河苑东南侧约70米,20.007927,110.291556
海南(海口)青少年科技公园,海南省海口市龙华区滨海大道28号,20.044734,110.332341
海口市美兰区海府街道公园,海口市美兰区南宝路1-18号,20.032027,110.350842
金盛达湖景公园,海口市龙华区丘海大道三仕爵木业西侧约80米,19.962706,110.300715
坡柳绿园,海南省海口市龙华区城西镇大样村委会坡崖村,19.949989,110.327931
红旗文化公园,海口市琼山区红旗大道与文明东路交叉路口往北约150米,19.824507,110.521077
趣味岩石环廊,海南省海口市秀英区石山火山群国家地质公园,19.932743,110.22778
东昌文化公园,海南省海口市琼山区国营东昌农场白石溪大道130号,19.618363,110.631396
赛诺文化公园,海口市秀英区岭北二路与光伏北路交叉路口往东北约200米,19.943253,110.279883
海口潭丰洋省级湿地公园湿地生态农业科研园,海南省海口市龙华区新坡镇旧村八仙泉风景区,19.784335,110.359811
海野恐龙园,海口市秀英区生态休闲小道海南热带野生动植物园,19.777163,110.252404
侨中街心公园,海南省海口市龙华区侨中里32号,20.023027,110.331882
海南自贸港法治主题公园,海南省海口市龙华区滨海街道龙昆北路11号,20.038181,110.332499
西瑞广场北小公园,海口市秀英区长滨五路颐养公社阳光城东侧约50米,20.054115,110.193068
人口文化园,海口市琼山区米铺路海汽东站小区西侧约80米,20.017423,110.364576
健康主题公园,海南省海口市美兰区恒大·美丽沙双创三角梅音乐广场南,20.078828,110.326083
养典正顺夫人庙-街心公园,海南省海口市龙华区Y213,19.81215,110.322148
逸秀园,海口市秀英区秀英大道逸秀雅苑西南侧约40米,20.003028,110.286945
