名称,地址,纬度,经度
海南师范大学(龙昆南校区),海南省海口市琼山区龙昆南路99号,20.00162,110.350191
海南医科大学(城西校区),海南省海口市龙华区学院路3号,19.98694,110.340927
海南师范大学(桂林洋校区),海南省海口市美兰区校际一号路与校际二号路交叉口西侧,19.986748,110.518383
海南科技职业大学(美兰校区),海南省海口市美兰区琼山大道18号,20.048869,110.416293
海南科技职业大学(云龙校区),海南省海口市琼山区云龙镇云定路118号,19.863568,110.467916
海南开放大学(白龙南校区),海南省海口市美兰区白龙南路46号,20.034712,110.368078
海南大学(观澜湖校区),海口市龙华区龙桥镇羊山大道52号,19.927066,110.3442
海南大学城西基础教学部,海南省海口市龙华区学院路4号,19.986733,110.332693
海南师范大学太阳能研究所,海口市琼山区黄槐路海南师范大学(南校区),20.001774,110.350519
海南大学(海甸校区)-9号教学楼,海南省海口市美兰区人民大道58号海南大学海甸校区内海南大学海甸校区9号教学楼,20.065772,110.337823
海南省来琼国际学生预科教育学院,海南省海口市琼山区海南师范大学南校区田家炳教育书院南侧,20.002595,110.350705
海口科技学院机电工程学院,海南省海口市美兰区琼山大道18号,20.047972,110.416776
