名称,地址,纬度,经度
复兴社区,江苏省南京市浦口区沿江街道,32.157455,118.753893
大华社区,江苏省南京市浦口区大华社区,32.116484,118.729424
高丽社区,江苏省南京市浦口区X302(浦合线),32.152564,118.622879
双金社区,江苏省南京市江宁区秣陵街道,31.839793,118.848438
青龙社区,江苏省南京市江宁区青杜路,31.948043,119.001127
长营社区,江苏省南京市栖霞区迈皋桥长营村102号长营社区,32.109518,118.821499
横梁街道,江苏省南京市六合区,32.325111,118.936734
瓜娄社区何庄,南京市六合区青年大道(青川路),32.549926,118.928682
瓜娄社区彭庄,南京市六合区青年大道(青川路),32.55093,118.928897
岗陈社区丁庄,江苏省南京市六合区冶山街道,32.521538,118.916622
瓜娄社区徐庄,江苏省南京市六合区冶山街道,32.546953,118.950798
科苑社区,南京市江宁区天元东路228号财富广场,31.938407,118.854827
南京市栖霞区燕子矶街道佘冲社区居民委员会,江苏省南京市栖霞区神农路23-18号,32.138616,118.850232
东王社区王庄,江苏省南京市六合区冶山街道,32.581251,118.87997
新华社区,南京市江宁区高旺路新华公寓祥和苑,31.901267,118.932527
岗陈社区蔡庄,江苏省南京市六合区冶山街道,32.526388,118.932434
雄州街道,江苏省南京市六合区,32.343101,118.885207
冶山社区股份经济合作社,江苏省南京市六合区X706(冶山路),32.522367,118.955097
瓜娄社区庙陈,南京市六合区庙陈路,32.53665,118.945888
程桥街道,江苏省南京市六合区,32.388929,118.735356
殷巷社区,南京市铺岗街殷巷新寓(242-297幢),31.921677,118.843892
京新社区,江苏省南京市浦口区南浦路,32.146712,118.749404
锁三社区,玄武区,32.081546,118.822362
明园社区,南京市建邺区福园街,32.038065,118.752458
钟村社区,江苏省南京市江宁区永欣北路,31.773837,118.869415
华桥社区,江苏省南京市溧水区柘塘街道,31.740926,118.990021
恒大龙珺,江苏省南京市江宁区麒麟街道袁家边路9号,32.095743,118.968576
红山社区,南京市玄武区恒嘉璐,32.101087,118.82363
张溪社区,张彭路与陆谷路交叉口东150米,31.838308,118.689115
青山社区,江苏省南京市浦口区永宁街道,32.1825,118.550436
