名称,地址,纬度,经度
南京市第一医院,江苏省南京市秦淮区长乐路68号,32.023359,118.790718
南京医科大学第四附属医院(京新院区),沿江街道南浦路298号,32.144772,118.747343
江苏省中医院(紫东院区),江苏省南京市栖霞区仙林大道200号,32.122458,118.993081
南京市江宁医院(鼓山路院区),东山街道鼓山路168号,31.956504,118.855746
江苏省人民医院,南京市鼓楼区广州路300号,32.055151,118.772921
江苏省中医院,南京市秦淮区汉中路155号,32.046939,118.780036
东南大学附属中大医院,江苏省南京市鼓楼区丁家桥87号,32.078402,118.782752
东部战区总医院,江苏省南京市玄武区中山东路305号,32.048608,118.815679
南京同仁医院,南京市江宁区吉印大道2007号,31.90255,118.83358
南京鼓楼医院,江苏省南京市鼓楼区中山路321号,32.062503,118.789579
泰康仙林鼓楼医院,南京市栖霞区灵山北路188号,32.101036,118.94285
南京明基医院,江苏省南京市建邺区河西大街71号,31.99282,118.735523
南京市中西医结合医院,南京市玄武区孝陵卫179号,32.039926,118.864466
南京市中医院,江苏省南京市秦淮区大明路157号,32.001841,118.814191
南京医科大学第四附属医院(浦园院区),江苏省南京市浦口区浦园路18号,32.11076,118.726537
南京市第一医院(南院),南京市雨花台区共青团路32号,32.007805,118.780957
南京鼓楼医院心脑血管病医院(南部院区),江苏省南京市溧水区经济开发区群力大道88号21栋,31.728604,119.023461
南京市江宁医院(湖山路院区),南京市江宁区湖山路169号,31.961387,118.876101
南京市第二医院,江苏省南京市鼓楼区钟阜路1-1号,32.094865,118.774949
南京市雨花医院,板桥大道9号,31.922893,118.671301
江苏省中西医结合医院(中国中医科学院江苏分院),江苏省南京市栖霞区迈皋桥红山路十字街100号,32.10596,118.817354
江苏省第二中医院,南京市建邺区南湖路23号,32.02839,118.761885
江苏省省级机关医院,南京市鼓楼区江苏路65号,32.071861,118.774376
南京市红十字医院,南京市秦淮区白下路242号,32.033794,118.798353
南京市江宁区禄口街道社区卫生服务中心,南京市江宁区禄口镇茅亭路218号,31.784644,118.863346
中国医学科学院皮肤病医院,蒋王庙街12号,32.087127,118.83386
溧水中山医院,江苏省南京市溧水区宝塔北路11号,31.679008,119.024898
南京医科大学第二附属医院(姜家园院区),江苏省南京市鼓楼区姜家园路姜家园121号,32.086049,118.751614
南京长江医院,南京市鼓楼区新门口18号,32.092935,118.774861
新城医院,江苏省南京市江宁区双龙大道2186号,31.921658,118.833534
南京大学医院,南京市鼓楼区汉口路22号,32.059823,118.788682
东部战区空军医院,南京市秦淮区马路街1号,32.035905,118.804538
南京医科大学附属眼科医院,江苏省南京市鼓楼区汉中路138号,32.049273,118.781357
南京健嘉康复医院,江苏省南京市鼓楼区建宁路279号,32.096049,118.752902
南京市妇幼保健院,南京市秦淮区莫愁路天妃巷123号,32.046228,118.783354
南京脑科医院,南京市鼓楼区广州路264号,32.056219,118.774905
南京医科大学附属逸夫医院,龙眠大道109号,31.938145,118.901056
南京市儿童医院(广州路院区),江苏省南京市鼓楼区广州路72号,32.057052,118.785799
南京胜泰医院,江苏省南京市江宁区庄排路81号,31.943599,118.834205
南京烷基苯医院,南京市栖霞区尧佳路8号,32.120094,118.881557
南京儿童医院(河西院区),江东南路8号,31.98883,118.713363
南京市口腔医院,江苏省南京市玄武区中央路30号,32.06784,118.791212
南京市浦口人民医院,南京市浦口区江浦街道上河街166号,32.054954,118.642772
南京银城康复医院,南京市栖霞区马群街道马群南路21号2幢,32.044722,118.893652
江苏省肿瘤医院,南京市玄武区昆仑路百子亭42号,32.074941,118.792744
南京建国医院,江苏省南京市秦淮区长乐路238号(武定门旁),32.019939,118.802698
南京金陵口腔医院,南京市鼓楼区江东北路91号,32.045827,118.744726
南京政治学院医院,南京市鼓楼区察哈尔路10号,32.08478,118.763735
南京邦德中医院,江苏省南京市玄武区龙蟠中路97号,32.054132,118.812413
南京博大肾科医院,南京市秦淮区升州路187号,32.031971,118.782868
南京医科大学第二附属医院(萨家湾院区),江苏省南京市鼓楼区中山北路262号,32.088833,118.763384
南京丁义山专科医院(江宁院区),江苏省南京市江宁区临淮街18号,31.952197,118.81896
迈皋桥医院集团南京朗盛医院,江苏省南京市栖霞区燕子矶街道和燕路533号,32.144,118.825572
江苏省口腔医院,汉中路136号,32.049557,118.782719
南京市玄武医院,南京市玄武区杨将军巷21号,32.052552,118.798879
南京市第一医院(河西院区),燕山路139号,32.026607,118.740775
南京市惠民中医院,江苏省南京市江宁区天印大道657号,31.97117,118.865238
南京万厚中医医院,江苏省南京市鼓楼区大桥南路29号,32.097391,118.761077
南京东南美容医院,江苏省南京市建邺区邺城路2号南京国际青年文化中心写字楼j座10楼,31.997258,118.715901
南京擎安美容医院,南京市建邺区河西大街230号,32.00825,118.722414
玉堂巷(江宁医院),848路环二;848路环一,31.95641,118.853812
麓丹医疗美容医院,江苏省南京市建邺区楠溪江东街78号6栋101室,31.999081,118.739127
南京军区南京总医院门诊部,江苏省南京市玄武区中山东路305号,32.046959,118.814397
南京解放路医院,江苏省南京市秦淮区解放南路150号,32.032532,118.815629
江苏省中西医结合医院内分泌代谢病院区,江苏省南京市栖霞区华电东路8号,32.110091,118.82152
南京江北口腔医院,南京市浦口区浦泗路8-2号,32.170543,118.718055
鼓楼区宁海路社区卫生服务中心(老菜市院区),南京市鼓楼区祁家桥竹林新村,32.07539,118.77297
南京痛十凤医院,江苏省南京市雨花台区雨花西路83号,32.009012,118.777879
南京慧成眼科医院,江苏省南京市六合区新华西路108号,32.219206,118.746471
南京市第二医院(汤山分院),南京市江宁区汤山街道康复路1号,32.05285,118.996527
甲康医院,江苏省南京市秦淮区苜蓿园大街48号,32.039917,118.838192
亿颜美美容医院,江苏省南京市建邺区南苑街道庐山路94号,32.015706,118.743833
东部战区空军医院-门诊部,江苏省南京市秦淮区马路街1号,32.035114,118.804142
朗盛医院东门门诊大厅,南京市栖霞区化新路迈皋桥医院集团南京朗盛医院,32.143964,118.825857
南京六合荟宁医院,江苏省南京市六合区马鞍街道汪杨村98号,32.378779,118.865803
南京市江宁妇幼保健院(江宁国际医院),南京市江宁区爱陵路与浩艺广场交叉路口往东约190米,31.861441,118.845619
熊猫集团医院-西门,南京市玄武区清溪路4号,32.049923,118.829636
南京三吉中医医院,江苏省南京市秦淮区光华路接到光华路156号,32.024181,118.865878
伊宠园宠物医院,天印大道1299号康桥公寓3幢9—10号门面房（近区委党校，江宁高级中学北）,31.95031,118.873283
南京市江宁医院(湖山路院区)结核门诊-留痰室,湖山路169号南京市江宁医院(湖山路院区)结核门诊,31.960574,118.877189
瑞派米果宠物医院,新浦路122号同心家园27栋104、105室底商,32.067373,118.647806
献血点(儿童医院),南京市建邺区江东南路儿童医院河西住院部门口,31.989394,118.712888
南京怡宁医院,江苏省南京市六合区编钟东路599号,32.374952,118.779278
迈皋桥医院集团南京朗盛医院-中医门诊,江苏省南京市栖霞区化新路化工新村(长江观音景区东100米),32.144202,118.825627
傳燈医舍中医诊所,江苏省南京市江宁区天元西路102号,31.93529,118.817293
