名称,地址,纬度,经度
德润养老院,江苏省南京市鼓楼区铁路北街177号,32.093196,118.764934
南京外滩养老院,江苏省南京市鼓楼区大桥南路于家巷7号,32.0964,118.757412
南京江宁沐春园护理院,南京市江宁区淳化街道格致路311号,31.921337,118.921991
君兆养老院,江苏省南京市玄武区樱花西路10号,32.088329,118.835714
九如城(盛和)康养中心,江苏省南京市玄武区马高路319号,32.038541,118.898929
南京市江宁区紫金养老院,南京市江宁区科建路1190号,31.938605,118.88155
南京市建邺区南湖养老院,南京市建邺区云河北路利民东村小区,32.031371,118.766419
安平养老护理院,江苏省南京市六合区毕洼路167号,32.229045,118.766761
凤翔养老院,江苏省南京市雨花台区铁心桥凤翔山庄二区76号,31.97295,118.766209
瑞海博北院养老院,南京市雨花台区铁心桥加油站创智大厦西南侧约240米,31.972735,118.753032
南京海熙护理院海熙养老院,南京市秦淮区路子铺11号,32.008946,118.802088
迈皋桥敬老院,江苏省南京市玄武区红山动物园南门沈阳村8号,32.096195,118.809265
阳光之家养老院,南京市六合区县府街荷花新苑西南侧约130米,32.349401,118.841118
钟山颐养园,江苏省南京市栖霞区马群街169号钟山学院内,32.046997,118.893708
南京市六合区晚霞红养老院,南京市六合区文峰路58号,32.336434,118.884539
南京不老村养老护理院,江苏省南京市浦口区玉兰路19号,32.135609,118.579945
南京市高淳区滨湖第一养老院,江苏省南京市高淳区祥瑞路28号滨湖丽景花园E区11幢首层,31.336903,118.929336
南京幸福园护理院,东新南路288-3号,31.956409,118.860298
乐成贤养老院,江宁区小商品城B区12栋三层,31.943295,118.885076
南京六合荟宁养老院(国悦颐养六合分院),江苏省南京市六合区马鞍街道汪杨村98号,32.378985,118.865519
兴达养老院,南京市建邺区庐山路兴达新寓,32.022762,118.749626
康居银城颐养中心,浦虹路1号,32.049245,118.634979
济民养老院,南京市鼓楼区二板桥618号,32.082534,118.74349
江苏省苏康老年护理中心,南京市浦口区沿山大道225号,32.083336,118.61236
雨花台区敬老院,江苏省南京市雨花台区未成年人保护中心(宁丹路东),31.948271,118.764806
天一养老院,南京市六合区环城北路天一公寓(环城北路)东北侧约80米,32.354214,118.84387
南京市浦口幸福颐养护理养老院,江苏省南京市浦口区盘城新街188-1号,32.220322,118.721278
钟山银城聚宝山颐养中心,江苏省南京市玄武大道96号(聚宝山公园内),32.108653,118.876606
海熙养老院,江苏省南京市鼓楼区幕府西路8号,32.115407,118.780696
南京市鼓楼区夕阳红养老院,南京市鼓楼区洪庙巷21号,32.089536,118.767991
润源养老院,江苏省南京市六合区凤凰南路158号,32.215043,118.761956
秦淮区正阳老年护养院,南京市秦淮区光华东街16号,32.030972,118.824375
