名称,地址,纬度,经度
浦口公园,江苏省南京市浦口区宁港路与浦园路交汇处,32.10795,118.726161
凤凰山公园,江苏省南京市浦口区江浦街道公园北路99号,32.067823,118.628781
杏湖公园,江苏省南京市浦口区绿联路,32.171621,118.763808
九龙湖公园,江苏省南京市江宁区苏源大道与清水亭西路交叉口东北角,31.923013,118.817761
白鹭洲公园,夫子庙白鹭村1号,32.024376,118.801314
古林公园,江苏省南京市鼓楼区虎踞北路21号,32.072555,118.759987
大学城公园,江苏省南京市江宁区金陵科技学院江宁校区西门斜对面,31.909634,118.898108
凤凰山公园,南京市六合区延安路47号,32.354636,118.849168
石羊公园,南京市江宁区石羊路通湖路交叉口,31.969713,118.863688
郑和公园,江苏省南京市秦淮区长太平巷35号,32.03775,118.800876
玄武湖景区,南京市玄武区玄武巷1号,32.076613,118.805436
鱼嘴湿地公园,江苏省南京市建邺区扬子江大道888号,31.980556,118.67235
老山国家森林公园,南京市浦口区黄山岭路90号,32.10791,118.608007
幕燕滨江·燕子矶公园,江苏省南京市栖霞区临江街3号,32.153029,118.823549
鼓楼公园,江苏省南京市鼓楼区北京西路1-2号,32.064917,118.788487
东山公园,文靖西路99号,31.961329,118.84572
佛手湖郊野公园,江苏省南京市浦口区沿山大道与浦镇大街交叉口西南角,32.114681,118.666652
象山湖公园,南京市浦口区沿山大道与象山路交叉口北100米,32.095684,118.624731
南湖公园,江苏省南京市建邺区南湖东路与彩虹路交叉口,32.034024,118.769206
绣球公园,江苏省南京市鼓楼区中山北路406号(近湖南路),32.094714,118.752721
汤山矿坑公园,南京市江宁区汤山街道美泉路11号,32.047815,119.044959
莫愁湖公园,南京市建邺区水西门大街132号,32.041142,118.76843
太平山公园,新城路,32.135386,118.880244
秣陵关公园,秣龙路,31.837413,118.851093
城东公园,江苏省南京市江宁区东山街道同夏路20号,31.963891,118.868781
白马公园,江苏省南京市玄武区白马山庄1号,32.066769,118.823191
山顶公园,南京市玄武区中山门外石象路7号钟山风景名胜区头陀岭景区内,32.076177,118.848658
南京国防园,江苏省南京市鼓楼区虎锯路87号(近虎踞南路),32.057074,118.761457
钟山风景名胜区,江苏省南京市玄武区石象路7号,32.070188,118.850383
天印公园,江苏省南京市江宁区上元大街336号江宁区政府对面,31.95701,118.84654
炼油厂公园,南京市栖霞区南炼7号路5号,32.157509,118.933987
仙鹤门公园,江苏省南京市玄武区X001(燕西线),32.093882,118.913074
下关火车主题园,南京市鼓楼区江边路,32.109542,118.750383
南京平山森林公园,江苏省南京市六合区马鞍镇,32.465659,118.854976
上峰公园,江苏省南京市江宁区汤山街道宁峰路17号,32.010509,119.057962
下马坊遗址公园,南京市玄武区下马坊地铁站2号口西,32.047723,118.850788
牛首山文化旅游区,江苏省南京市江宁区宁丹大道18号,31.911181,118.750261
南京中国绿化博览园,江苏省南京市建邺区扬子江大道228号,32.025743,118.716203
公共公园,南京市六合区四柳路与茉湖西路交叉路口往西约90米,32.318597,118.835014
山水园公园,南京市浦口区盘城新街学士府东侧约60米,32.212725,118.72433
511公园,南京市秦淮区航城路16号,32.042598,118.813673
钟山体育运动公园,南京市玄武区中山门外石象路7号中山陵园风景区,32.051952,118.878493
生态公园,地铁12号线,32.024365,118.903384
麒麟生态公园,312路;有轨电车2号线,32.027404,118.899858
生态公园,地铁8号线,32.023188,118.903586
南京市无想山国家森林公园,江苏省南京市溧水区无想山大道,31.606464,119.032124
雨花石地质公园,江苏省南京市六合区横梁三友湖米家洼,32.371932,119.04531
午朝门公园,御道街27号(明故宫遗址),32.044376,118.824055
七号公园,南京市栖霞区仙林大学城爱尚街区c区,32.101136,118.921669
东水关遗址公园,江苏省南京市秦淮区龙蟠中路408号,32.028933,118.805269
滨江湿地公园,698路;G43路;G59路,32.076393,118.697561
幸庄湿地公园,溧水G1路;溧水G5路,31.624016,119.035919
宝船遗址公园,47路;72路;133路;307路;560路;561路;D1路,32.067674,118.74289
明故宫,中山东路311-3号,32.047651,118.824371
鱼嘴湿地公园,鱼嘴接驳公交,31.97482,118.668417
老山森林公园,607路;608路;610路;611路;G41路,32.104753,118.599488
灵谷景区,南京市玄武区灵谷寺2号,32.061269,118.873167
瓜埠地质公园,475路;476路;D65路;D66路;D67路,32.258133,118.909004
瑞龙郊野公园,地铁4号线二期,32.110411,118.677789
老山森林公园,607路;608路;610路;611路;G41路;G50路;G51路,32.103023,118.600295
南京城墙台城景区,解放门8号,32.068991,118.802812
玄武湖景区-解放门,南京市玄武区玄武巷1号,32.068572,118.803116
大成名店公园,南京市栖霞区文苑路108号,32.107989,118.92866
万科翡翠公园,南京市江宁区双龙大道1699号,31.926438,118.833651
