名称,地址,纬度,经度
南京大学(仙林校区),江苏省南京市栖霞区仙林大道163号,32.124973,118.964937
南京大学(鼓楼校区),江苏省南京市鼓楼区汉口路22号,32.06143,118.786007
南京医科大学(江宁校区),南京市江宁区龙眠大道101号,31.943797,118.897648
南京大学(浦口校区),江苏省南京市浦口区学府路8号,32.183523,118.711789
南京工业大学,江苏省南京市浦口区浦珠南路30号,32.088645,118.646354
南京理工大学,江苏省南京市玄武区孝陵卫街200号,32.034198,118.863244
南京审计大学(浦口校区),南京市浦口区雨山西路86号,32.068569,118.614913
南京航空航天大学(明故宫校区),南京市秦淮区御道街29号,32.041196,118.826737
南京航空航天大学(将军路校区),南京市江宁区将军大道29号,31.944514,118.798733
南京师范大学(仙林校区),江苏省南京市栖霞区文苑路1号,32.113575,118.916507
南京师范大学(随园校区),江苏省南京市鼓楼区宁海路122号,32.059149,118.773988
南京信息工程大学,江苏省南京市浦口区宁六路219号,32.209229,118.721777
东南大学(四牌楼校区),江苏省南京市玄武区新街口街道大石桥社区四牌楼2号,32.061071,118.801065
南京师范大学附属中学江宁分校(汤山中学),江苏省南京市江宁区汤泉西路8号,32.064609,119.066657
南京师范大学附属中学江宁分校汤山小学-南门,南京市江宁区作厂路作厂馨苑-北苑南侧约80米,32.048882,119.084186
南京理工大学继续教育学院(汤山校区)-停车场,江苏省南京市江宁区汤峰路96号,32.024158,119.058338
南京市六合区老年大学(延安北路)-停车场,南京市六合区延安北路25号,32.359414,118.854019
南京传媒学院,南京市江宁区弘景大道3666号,31.89005,118.894656
南京林业大学(新庄校区),江苏省南京市玄武区龙蟠路159号,32.084857,118.823435
南京财经大学(福建路校区),江苏省南京市鼓楼区铁路北街128号,32.092145,118.768236
南京中医药大学(仙林校区),江苏省南京市栖霞区仙林大道138号,32.107752,118.952111
南京财经大学(仙林校区),江苏南京市仙林大学城文苑路3号,32.113885,118.929088
南京农业大学(浦口校区),江苏省南京市浦口区点将台路40号,32.139009,118.705836
南京农业大学(卫岗校区),南京市玄武区卫岗1号,32.039053,118.849955
南京师范大学,江苏省南京市江宁区文苑路东区32栋,32.063586,119.062148
南京邮电大学(仙林校区),江苏省南京市栖霞区文苑路9号,32.119823,118.937284
南京大学(仙林校区)左涤江医学楼-地上停车场,南京市栖霞区远东大道南京大学(仙林校区),32.125985,118.961902
南京工业职业技术大学(仙林校区),江苏省南京市栖霞区仙林大学城羊山北路1号,32.126653,118.947028
南京邮电大学(三牌楼校区),江苏省南京市鼓楼区新模范马路66号,32.086827,118.776957
南京大学(鼓楼校区)-荟萃楼,汉口路22号南京大学鼓楼校区,32.05941,118.786753
南京大学国际关系学院,江苏省南京市栖霞区仙林大道163号南京大学,32.125503,118.963309
仙林大学城,江苏省南京市栖霞区学衡路附近,32.10507,118.919324
雨润大学,南京市浦口区经济开发区紫峰路19号,31.97473,118.551205
南京大学-天文楼,南京市栖霞区仙林大道163号南京大学仙林校区内,32.130985,118.96667
南京大学医院,南京市鼓楼区汉口路22号,32.059823,118.788682
