名称,地址,纬度,经度
上海大学(嘉定校区),上海市嘉定区城中路20号,31.382352,121.255862
上海大学(宝山校区),上海市宝山区上大路99号,31.321896,121.399127
上海大学(延长校区),上海市静安区延长路149号,31.281999,121.464104
上海中医药大学,上海市浦东新区蔡伦路1200号,31.199657,121.602067
上海理工大学,上海市杨浦区军工路516号,31.297902,121.562072
上海交通大学(徐汇校区),上海市徐汇区华山路1954号,31.205455,121.439676
华东师范大学(闵行校区),上海市闵行区东川路500号,31.03771,121.459687
上海外国语大学(虹口校区),上海市虹口区大连西路550号,31.282907,121.489894
上海交通大学(闵行校区),上海市闵行区东川路800号,31.032019,121.443136
华东师范大学(普陀校区),上海市普陀区中山北路3663号,31.233204,121.411923
上海中侨职业技术大学,上海市金山区漕廊公路3888号,30.805144,121.312707
上海师范大学(徐汇校区),上海市徐汇区桂林路100号,31.16724,121.424846
上海杉达学院,上海市浦东新区金海路2727号,31.274949,121.665544
上海财经大学(国定路校区),上海市杨浦区国定路777号,31.312274,121.507427
同济大学,上海市杨浦区四平路1239号,31.288268,121.508602
上海外国语大学贤达经济人文学院-北门,上海市崇明区东滩大道900号,31.494834,121.839796
上海师范大学水稻育种(崇明)基地,上海市崇明区X511(合富公路),31.622044,121.687561
上海第二工业大学附属龚路中学(总校)-东门,上海市浦东新区龚华路50弄-39号,31.272573,121.685196
上海音乐学院,上海市徐汇区汾阳路20号,31.219862,121.4609
华东理工大学(徐汇校区),上海市徐汇区梅陇路130号,31.149765,121.431127
上海第二工业大学(金海路校区),上海市浦东新区金海路2360号(近杉达学院),31.265821,121.659527
上海外国语大学贤达经济人文学院北侧-停车场,上海市崇明区东滩大道999号,31.495908,121.838039
上海海事大学(临港校区),上海市浦东新区南汇新城镇海港大道1550号,30.880796,121.910597
上海外国语大学贤达经济人文学院,上海市崇明区东滩大道999号,31.492978,121.837637
上海海洋大学(临港校区),上海浦东新区南汇新城沪城环路999号,30.889079,121.903312
上海工程技术大学(长宁校区),上海市长宁区仙霞路350号,31.210542,121.403377
华东政法大学(松江校区),上海市松江区松江大学园区龙源路555号,31.061056,121.202436
上海应用技术大学(奉贤校区),上海市奉贤区海泉路100号,30.848402,121.517148
上海师范大学(奉贤校区),上海市奉贤区海思路100号,30.842458,121.523025
华东理工大学(奉贤校区),上海市奉贤区海思路999号,30.83673,121.510342
华东政法大学(长宁校区),上海市长宁区万航渡路1575号,31.232755,121.423741
上海应用技术大学(徐汇校区),上海市徐汇区漕宝路120号,31.172237,121.428988
上海工程技术大学(松江校区),上海市松江区龙腾路333号,31.061771,121.211855
上海理工大学(水丰路校区),上海市杨浦区延吉新村街道水丰路100号,31.289149,121.549336
中华艺术大学,上海市虹口区多伦路201弄99号,31.269352,121.487591
上海开放大学(闵行二分校),上海市闵行区景谷路125号,31.017822,121.40529
上海大学,地铁7号线,31.326191,121.395514
交通大学,地铁10号线;地铁11号线,31.208455,121.441066
上海大学(宝山校区)-C楼(教学楼),上海市宝山区上大路99号(近南陈路),31.320198,121.4016
上海科技大学(岳阳路校区),上海市徐汇区太原路294号,31.208672,121.460715
达通广场-上海高级金融学院,上海市徐汇区淮海西路211号,31.206318,121.437454
上海大学X2学生公寓,上海市宝山区上大路99号,31.323872,121.3975
上海大学(宝山校区)-X楼,上海市宝山区上大路99号(近南陈路),31.323812,121.39786
上海老年大学(南塘浜路),上海市黄浦区南塘浜路117号,31.209696,121.479365
文艺大楼,上海市长宁区淮海西路40号(交通大学地铁站3号口步行90米),31.20862,121.441008
复旦正大中心卿云楼(邯郸校区),上海市杨浦区邯郸路220号,31.304215,121.514633
光学大楼(闵行校区),上海市闵行区东川路500号,31.039131,121.456438
浦银大学,上海市徐汇区莲花路1688号,31.169146,121.401116
上海大学(延长校区)-引力楼,上海市静安区广中路788号,31.284558,121.463174
上海市长宁区业余大学(定西路院区),上海市长宁区定西路1300号,31.221473,121.42956
东华大学(延安路校区)-旭日楼,上海市长宁区延安西路1882号,31.208599,121.420637
上海大学雅思IELTS考点,上海市宝山区上大路1号,31.319751,121.414658
浦东新区老年大学(银龄分校),上海市浦东新区严丰路25号3楼,31.198198,121.53296
上海电力大学经济管理学院,上海市浦东新区沪城环路上海电力大学(临港校区)一号门西北侧约70米,30.908664,121.902158
