名称,地址,纬度,经度
上海市第三社会福利院,上海市宝山区漠河路655弄,31.414127,121.474775
上海市杨浦区社会福利院,上海市杨浦区松花江路55弄5号（近军工路）,31.304264,121.550147
上海市第一社会福利院,上海市徐汇区宛平南路465号福地大酒店徐汇店4楼,31.196516,121.454935
恒裕曹家渡老年福利院,上海市静安区万航渡路767弄43号（靠近康定路）,31.234375,121.438562
上海市儿童福利院,上海市闵行区中春路9977号,31.172052,121.333933
上海闵行区中谊福利院,上海市闵行区中谊路955号（近中春路）,31.143803,121.35868
上海市徐汇区第三老年福利院,上海市徐汇区华发路210号,31.133566,121.457789
上海市长宁区社会福利院,上海市闵行区红松路81弄158号,31.186638,121.384075
上海青浦区淀山湖福利院,上海市青浦区朱家角镇东圩河路66号,31.137557,121.059365
上海市虹口区第二社会福利院,上海市虹口区广灵四路268号,31.293025,121.481285
上海市黄浦区第一社会福利院,上海市黄浦区南码头路东三街路55号,31.207565,121.515018
川沙新镇福利院,上海市浦东新区川沙新镇德川路469号,31.196523,121.677604
上海市安亭社会福利院,上海市嘉定区安亭镇外青松公路10号桥西鸵鸟路555号,31.313837,121.146235
松江社会福利院,上海市松江区方松街道南期昌路600号,31.030913,121.228442
上海市金山区社会福利院,上海市金山区金山大道3528号,30.739177,121.322755
上海市奉贤区第二福利院,上海市奉贤区金汇镇望河路89号,30.96384,121.516382
嘉定社会福利院,北大街301号,31.398807,121.253166
上海市普陀区社会福利院,上海市普陀区枣阳路515号,31.234876,121.407662
上海市第五社会福利院,上海市崇明区北沿公路与东冉路交叉路口往东约150米,31.68365,121.547309
上海市徐汇区第二社会福利院,上海市徐汇区龙州路600号,31.142234,121.43163
上海市虹口区社会福利院,上海市虹口区密云路623号,31.294658,121.507808
上海大华福利院,上海市闵行区中春路2626号,31.075217,121.390457
上海蘭馨福利院,上海市崇明区陈家镇裕西村568号,31.550291,121.819219
上海市长宁区第二社会福利院,上海市闵行区中华美路60弄38-40号,31.225035,121.337008
静安区社会福利院,上海市静安区汾西路217号,31.319377,121.469772
黄浦区第二社会福利院,上海市浦东新区东园四村427号,31.236854,121.519167
上海闵行区扩伦福利院,上海市闵行区江川路1565弄10-12号,30.997708,121.378499
银色港湾福利院,上海市黄浦区五里桥街道瞿溪路700号,31.207465,121.489569
