名称,地址,纬度,经度
徐家汇公园,上海市徐汇区肇嘉浜路889号,31.203746,121.448858
共青国家森林公园,上海市杨浦区军工路2000号,31.325479,121.558059
滨江森林公园,上海市浦东新区高桥镇凌桥高沙滩3号,31.389026,121.534785
复兴公园,上海市黄浦区雁荡路105号,31.222944,121.475676
静安公园,上海市静安区南京西路1649号,31.228471,121.453099
世纪公园,上海市浦东新区锦绣路1001号,31.222046,121.558979
世博公园,上海市浦东新区世博大道1750号,31.192946,121.493591
大宁公园,上海市静安区广中西路288号,31.282106,121.449475
静安雕塑公园,上海市静安区石门二路128号(近北京西路),31.241012,121.470193
莘庄公园,上海市闵行区莘浜路421号,31.107686,121.379338
闵行文化公园,上海市闵行区吴中路2019号,31.16994,121.366785
闵行公园,上海市闵行区沪闵路249号,31.014831,121.430983
蓬莱公园,上海市黄浦区南车站路350号,31.211802,121.498147
人民公园,上海市黄浦区南京西路231号,31.238371,121.479687
前滩友城公园,泳耀路与耀体路交叉口西北,31.163253,121.478601
滨海公园,上海市金山区新城路16号,30.713009,121.352039
沔青公园,上海市浦东新区康桥镇川周公路2740号,31.156066,121.636982
闸北公园,上海市静安区共和新路1555号,31.276754,121.466369
北外滩滨江绿地,上海市虹口区东大名路558-678,31.253221,121.506848
杨浦公园,上海市杨浦区双阳路399号,31.286465,121.542675
天山公园,上海市长宁区延安西路1731号,31.216358,121.42231
和平公园,上海市虹口区天宝路891号,31.2764,121.509619
金桥公园,上海市浦东新区台儿庄路408号,31.262891,121.599612
长风公园,上海市普陀区大渡河路189号,31.230879,121.405991
上海浦江郊野公园,上海市闵行区浦星公路2578弄8号,31.060413,121.503353
安亭·上海汽车博览公园,上海市嘉定区博园路7001号,31.284534,121.180229
黎安公园,秀文路118号,31.135351,121.387645
新江湾城公园,上海市杨浦区政和路与国秀路交叉口北200米,31.339674,121.519989
襄阳公园,上海市徐汇区淮海中路1008号(近襄阳北路),31.223319,121.463193
桂林公园,上海市徐汇区桂林路128号近地铁12号线桂林公园站,31.171505,121.424372
川沙公园,上海市浦东新区城南路437号,31.197097,121.707404
周浦文化公园,上海市浦东新区周浦镇周邓公路6851号,31.118562,121.603901
远香湖公园,上海市嘉定区白银路与沪宜公路交汇处西南侧,31.355444,121.274839
松南郊野公园,上海市松江区车墩镇松金公路9535号,30.984435,121.295603
闵行体育公园,上海市闵行区新镇路456号,31.14891,121.37738
泗泾公园,上海市松江区泗泾镇江川路188号,31.119756,121.281529
锦绣文化公园,上海市浦东新区花木街道高科西路2599号,31.19691,121.551879
大华行知公园,上海市宝山区真华路1105号,31.283778,121.416664
宝山滨江公园,上海市宝山区临江公园对面,31.416892,121.502669
江浦公园,上海市杨浦区长阳路1111号明珠公寓,31.271966,121.530626
汇龙潭公园,上海市嘉定区塔城路299号,31.386864,121.260777
黄兴公园,上海市杨浦区营口路699号,31.299301,121.536437
顾村公园,上海市宝山区顾村镇沪太路4788号,31.34561,121.376697
佘山国家森林公园,上海市松江区外青松公路9258号,31.100583,121.202799
曲阳公园,上海市虹口区中山北一路880号,31.292936,121.492941
中兴公园,上海市静安区中华新路396号,31.260616,121.476354
复兴岛公园,上海市杨浦区共青路386号,31.292789,121.568766
嘉北郊野公园,上海市嘉定区沪宜公路5051号,31.363938,121.206804
前滩休闲公园,前滩大道与园照路交叉口西北100米,31.15699,121.472725
古华园,上海市奉贤区南桥镇解放中路220号,30.92385,121.471156
新虹桥中心花园,上海市长宁区伊犁路97号,31.206105,121.411336
古城公园,上海市黄浦区人民路333号,31.234126,121.500454
浦江森林公园,上海市闵行区浦江镇联跃路100号,31.052892,121.523947
上海市滨江滑板公园,上海市徐汇区瑞宁路,31.192052,121.474306
花开海上生态园,朱泾镇秀泾村秀泾6060号,30.891995,121.122831
中山公园,上海市长宁区长宁路780号,31.227896,121.425426
上海青西郊野公园,上海市青浦区金泽镇紫莲路500号,31.068949,121.005645
碧云体育公园,上海市浦东新区碧云路633号,31.249001,121.589821
思贤公园,上海市松江区思贤路与人民北路交叉口东北角,31.036387,121.229905
上海吴淞炮台湾国家湿地公园,上海市宝山区塘后路206号,31.402378,121.516037
华翔绿地,上海市闵行区申昆路291号,31.178826,121.334814
古钟园,上海市浦东新区惠南镇卫星西路11号,31.049637,121.759311
九科绿洲,上海市松江区九亭镇中心路与朱金路交汇口,31.114091,121.334221
醉白池公园,上海市松江区人民南路64号,31.00776,121.237516
苏州河梦清园环保主题公园,上海市普陀区宜昌路88号,31.257223,121.446918
南翔水生态公园,上海市嘉定区南翔镇顺丰路168号,31.336615,121.34103
春光公园,上海市普陀区水厂路189号,31.28056,121.363539
上海滨海森林公园,上海市浦东新区南汇新城镇东大公路5366号,30.969511,121.917395
华夏公园,华夏东路285号,31.198801,121.655177
黄渡公园,上海市嘉定区安亭镇黄渡社区新黄路40号,31.274678,121.222911
月浦公园,上海市宝山区月浦镇龙镇路6号,31.421871,121.435043
广富林郊野公园,松江区辰塔路3488号,31.06719,121.189905
上海之鱼泡泡公园,上海市奉贤区秀竹路上海之鱼南侧,30.932335,121.508483
上海海湾国家森林公园,上海市奉贤区随塘河路1677号,30.867378,121.696711
南汇嘴观海公园,上海市浦东新区南汇新城世纪塘路,30.886852,121.978222
长兴岛郊野公园,上海市崇明区长兴镇秋柑路199号,31.409007,121.71551
南园滨江绿地,上海市黄浦区龙华东路800号,31.197684,121.481948
赵巷体育公园,上海市青浦区嘉松中路与业文路交叉路口往东北约210米,31.130461,121.23408
嘉定紫藤园,上海市嘉定区博乐路45号近原嘉定南门客运中心,31.385336,121.265354
辅德里公园,上海市静安区大沽路379号,31.230838,121.473344
徐汇滨江绿地,上海市徐汇区东安路与龙腾大道交叉口东,31.186867,121.470204
上海廊下郊野公园,上海市金山区廊下镇漕廊公路9133号,30.787442,121.163537
古藤园,上海市闵行区临沧路148号(东川路江川路间),31.008572,121.393615
南汇新城春花秋色公园,上海市浦东新区南汇新城镇环湖南二路,30.887568,121.956852
纪王公园,上海市闵行区纪高路600号,31.243872,121.275595
M50创意园,上海市普陀区莫干山路50号,31.254456,121.455795
东滩湿地公园,上海市崇明区东滩东旺中路,31.522352,121.958043
李子园公园,上海市普陀区武威东路与真南路822弄交汇处,31.281168,121.389972
后滩公园,上海市浦东新区世博大道2200号,31.186473,121.47535
1933老场坊,上海市虹口区溧阳路611号,31.260266,121.498519
东平国家森林公园,上海市崇明区北沿公路2188号,31.689472,121.487406
东方明珠公园,上海市浦东新区滨江大道2525弄5-25号,31.246774,121.506763
浦东新区法治主题园,上海市浦东新区航头路与航达路交叉路口往北约50米(长达佳苑西北侧约250米),31.036557,121.579986
环城河市民休闲公园-紫云廊公园,上海市嘉定区环城路601号,31.399538,121.256085
竹园绿地,上海市浦东新区浦电路407号,31.226954,121.538541
上海薰衣草公园-南园,上海市浦东新区申迪东路399弄187号上海薰衣草公园,31.147083,121.681317
天马山公园,上海市松江区刘家山村460号,31.081468,121.159425
绥德公园,上海市嘉定区绥德路,31.274749,121.363064
西沙明珠湖景区,上海市崇明区三华公路333号,31.741951,121.263587
1876老站创意园,上海市汶水东路351号,31.296951,121.489238
北外滩航海公园,上海市虹口区北外滩国客中心,31.253478,121.504455
留云湖,上海市嘉定区芳林路菁英湖风情公园,31.318691,121.316559
上海世博文化公园-申园,上海市浦东新区世博大道1750号上海世博文化公园北区,31.188265,121.480781
蚂蚁乐园,秀竹路泡泡公园内,30.931679,121.507777
上海月湖雕塑公园,上海市松江区林荫新路1158号,31.106763,121.212526
半岛1919文化创意产业园,淞兴西路258号,31.372564,121.494476
森兰无界公园,上海市浦东新区张杨北路2700号,31.313857,121.598636
琴键春园,上海市黄浦区苗江路200号,31.202405,121.502829
延春公园,上海市杨浦区营口路20号(近靖宇东路),31.294323,121.542239
临空音乐公园,上海市长宁区广顺北路592号,31.243455,121.357827
创享塔the x tower,上海市普陀区长寿路街道叶家宅路100号,31.244482,121.437711
长阳创谷,上海市杨浦区长阳路1687号,31.278477,121.539825
