名称,地址,纬度,经度
复旦大学附属华山医院(西院),上海市闵行区金光路958号,31.214182,121.280676
仁济医院(南院区),上海市闵行区江月路2000号,31.087463,121.505163
上海市嘉定区中心医院,上海市嘉定区城北路1号,31.393381,121.245884
上海市闵行区中心医院,上海市闵行区莘庄镇莘松路170号,31.114143,121.381539
上海交通大学医学院附属第六人民医院,上海市浦东新区南汇新城环湖西三路222号,30.891819,121.929475
上海长海医院,上海市杨浦区长海路168号,31.314476,121.534547
上海市第一人民医院,上海市虹口区武进路85号,31.25908,121.495929
上海交通大学医学院附属瑞金医院(北院),上海市嘉定区希望路999号,31.341085,121.265506
复旦大学附属华山医院(北院),上海市宝山区陆翔路108号,31.352256,121.380372
上海市东方医院,上海市浦东新区浦东南路551号,31.243436,121.518741
上海长征医院,上海市黄浦区凤阳路415号,31.238113,121.474218
上海市第七人民医院,上海市浦东新区高桥镇大同路358号,31.349141,121.584668
复旦大学附属华东医院,上海市静安区延安西路221号,31.224698,121.44809
上海市嘉定区南翔医院,上海市嘉定区南翔镇众仁路495号,31.29796,121.32877
上海市青浦区朱家角人民医院,上海市青浦区朱家角镇石家浜东路99号,31.132922,121.049398
上海大学附属仁和医院,上海市宝山区长江西路1999号,31.339,121.448702
上海杨思医院,上海市浦东新区杨新东路28号,31.171295,121.505545
上海市静安区市北医院,上海市静安区共和新路4500号,31.319954,121.454125
普陀区利群医院,上海市普陀区桃浦路910号,31.266484,121.392111
杨浦区中心医院,上海市杨浦区腾越路450号,31.278145,121.556549
奉贤区奉城医院,上海市奉贤区川南奉公路9983号,30.916408,121.648248
上海建工医院,上海市虹口区中山北一路666号,31.290505,121.491109
上海市第六人民医院,上海市徐汇区宜山路600号,31.184714,121.428795
上海市金山区亭林医院,上海市金山区亭林镇寺平北路80号,30.890438,121.32135
上海安达医院,上海市浦东新区沪南路468号,31.19669,121.557121
上海四一一医院,上海市虹口区东江湾路15号,31.270892,121.487207
上海合川莱茵中医医院,闵行区合川路3071号,31.183128,121.386029
复旦大学附属中山医院(东院区),上海市徐汇区斜土路1609号,31.203443,121.462946
复旦大学附属华山医院(江苏路分部),上海市长宁区江苏路796号,31.218477,121.43949
上海市黄浦区中西医结合医院,上海市黄浦区黄家路163号(近跨龙路),31.222,121.500973
上海中医药大学附属岳阳中西医结合医院,上海市虹口区甘河路110号,31.294753,121.495616
上海市中医药大学附属曙光医院(东院),上海市浦东新区张衡路528号,31.192315,121.600407
上海市第一人民医院(南院),上海市松江区新松江路650号,31.046666,121.232552
御康医院,上海市浦东新区沪南路2441弄1号,31.160001,121.571993
上海嘉华医院,上海市嘉定区清河路450号,31.382874,121.240637
上海市同济医院,上海市普陀区新村路389号,31.27312,121.437721
上海尚德医院,上海市浦东新区川沙路1295号,31.267185,121.685612
上海市公共卫生临床中心,上海市金山区漕廊公路2901号,30.796032,121.346131
上海安平医院,上海市浦东新区川沙路4425弄8号,31.208517,121.702802
复旦大学附属华山医院东院,上海市浦东新区红枫路525号,31.246063,121.602905
上海市浦东新区周浦医院,上海市浦东新区周浦镇周园路1500号,31.104747,121.601938
上海市浦东新区人民医院,上海市浦东新区川沙镇川环南路490号,31.195547,121.709898
上海市普陀区中心医院,上海市普陀区兰溪路164号,31.247439,121.410709
上海市浦东医院,上海市浦东新区惠南镇拱为路2800号,31.064361,121.743495
华东医院(闵行门诊部),上海市闵行区春申路2869号,31.113608,121.413538
复旦大学附属中山医院(青浦分院),上海市青浦区公园东路1158号,31.161067,121.144067
上海曹安医院,上海市嘉定区黄渡镇曹安公路4312号,31.281128,121.252376
上海交通大学医学院附属仁济医院(东院),上海市浦东新区浦建路160号,31.212826,121.528838
上海市静安区中心医院,上海市静安区西康路259号,31.236975,121.456145
上海交通大学医学院附属新华医院,上海市杨浦区控江路1665号,31.278956,121.524262
上海国龙医院,上海市浦东新区川周公路4128号,31.130378,121.590625
上海市奉贤区中心医院,上海市奉贤区南桥新城南奉公路6600号,30.927881,121.513186
上海市同仁医院,上海市长宁区仙霞路1111号,31.214535,121.383657
上海市静安区闸北中心医院,上海市静安区中华新路619号,31.260533,121.468054
上海交通大学医学院附属第九人民医院(浦东分院),上海市浦东新区高科西路1908号(近严民路),31.192708,121.538534
复旦大学附属中山医院,上海市徐汇区枫林路180号,31.202396,121.461197
上海华泰医院,上海市闵行区纪翟路1688号,31.241105,121.279154
上海市第五人民医院,上海市闵行区瑞丽路128号,31.011488,121.41349
上海市第十人民医院,上海市静安区延长中路301号,31.278367,121.459989
上海市第八人民医院,上海市徐汇区漕宝路8号,31.173661,121.439641
嘉定区江桥医院,上海市嘉定区黄家花园路800号,31.273811,121.327655
上海市浦东新区浦南医院东院,上海市浦东新区临沂路219号,31.199134,121.517366
宝山区中西医结合医院,上海市宝山区友谊路181号,31.411965,121.490585
上海国际医学中心,上海市浦东新区康新公路4358号,31.12203,121.628953
上海市第十人民医院(崇明分院),上海市崇明区堡镇镇向阳东路66号,31.535329,121.631544
上海市浦东新区公利医院,上海市浦东新区苗圃路219号,31.248038,121.553261
上海交通大学医学院附属第九人民医院,上海市黄浦区制造局路639号,31.208021,121.49299
上海市金山区中西医结合医院,上海市金山区枫泾镇白牛路219号,30.897871,121.028418
上海交通大学医学院附属第九人民医院(北院),上海市宝山区漠河路280号,31.414384,121.484345
上海沪东医院,上海市浦东新区博兴路95号,31.276051,121.586325
上海市黄浦区香山中医医院(复兴中路),上海市复兴中路528号,31.221628,121.473215
上海市第五康复医院,上海市松江区乐都路279号,31.019011,121.237492
上海嘉园医院,上海市嘉定区新源路941号,31.307268,121.159191
上海中医药大学附属龙华医院(浦东院区),上海市浦东新区航三路与航都路交汇处西北侧,31.052535,121.615076
上海长航医院,上海市浦东新区崂山路523号,31.233671,121.528645
上海市中西医结合医院,上海市虹口区保定路230号,31.263219,121.518059
上海中医药大学附属龙华医院,上海市徐汇区宛平南路725号,31.194339,121.456965
